,Tweet
10,@stopcredulity2 อ่ะ เอาใหม่คุณนิวใส่ชุดไทยแล้วเสียดสีทำให้ฝ่ายขวาไม่พอใจ เลยโดน 112 ที่คุณจะบอกคือแบบนี้ถูกมั้ยคะ ?
11,"@stopcredulity2 ตกลงคุณนิวใส่ชุดไทยแล้วทำให้ฝ่ายขวาไม่พอใจ ? 
เลยโดน 112 คุณกำลังจะสื่อแบบนี้รึเปล่าคะ ?"
12,"@elite_snob ขยายความครับ
นิว เป็นนักกิจกรรมที่ลือกันว่าโดน 112 เพราะแต่งชุดไทย รอยสักของเขาคือ ""ฉันเกิดในรัชกาลที่ ๙"" 
คำถามเป็นการเปรียบเทียบแบบตรงไปตรงมา ถ้า นิว ทำพฤติกรรมแบบนี้ เช่น ข่มเหงคนอื่นแบบที่สายน้ำทำ หรือดูถูกคนแบบที่ลูกนัททำ เอารอยสักที่ว่าประกอบก็สามารถบอกว่าเพราะเป็นสลิ่มได้?"
13,"@WHIThailand เขาบอกว่าอย่าบิดว่าแค่ใส่ชุดไทย แต่ไม่ได้ด่านิวเพราะแต่งตัวเลียนแบบ
อันนี้เสริม รู้ว่าบิดเพราะอยากช่วยให้รอด แต่ไม่น่าจะเวิร์ค ไม่มีใครเชื่อ และยังเสียเครดิตด้วย ควรสู้ในประเด็นที่ว่า ในระบอบปชต. ควร satire ผู้มีอำนาจได้ แต่ก็ล้อหนักเกินไปอีก ควรระวังตั้งแต่แรก ถ้าไม่อยากโดนคดี"
14,ยังติ่งซีนุนิวค่ะ เพราะนอกจากพวกเค้าก็ไม่มีใครตอบโจทย์ แต่ชั้ลจะกลับไปเป็นสาววายนักอ่าน ซีรี่ย์วายไทยไม่สามารถชุดรั้งชั้ลได้ //ก็บกว่าหยัมมาจบแงะ!!!
15,"คุณนิวที่สวมชุดไทยไปทำกิจกรรม ต้องชื่นชมว่าเธอกล้าหาญมากๆ (ทั้งๆที่ใส่ชุดล้อเลียนมันก็ปกติในตปท.มาก) ที่กล้าออกมาเรียกร้องยกเลิก 112 
อยากให้สังคมคิดว่าสิ่งที่เธอทำมันผิดหรืออะไรที่มันบิดเบี้ยวไปกันแน่"
16,@RedDustRealm @LittleBirbMame @RedDustRealm ศาลเอาหลักฐานมาจากไหน ถึงรู้ว่าคนที่ใส่ชุดดไทยกับคนที่กราบ เตี๊ยมกันมา?
17,และที่คนอื่นเขาแย้งว่าไม่ใช่แค่เพราะใส่ชุดไทยแล้วโดน112 ก็เพราะเขาเห็นว่าเป็นการบิดเบือน ทำให้คนอื่นไม่เชื่อ ควรพุ่งประเด็นไปที่การเรียกร้องให้สามารถ satire ได้ แต่ไม่ใช่ว่าเขาเห็นด้วยที่นิวโดน112
18,@dog_overload และที่คนอื่นเขาแย้งว่าไม่ใช่แค่เพราะใส่ชุดไทยแล้วโดน112 ก็เพราะเขาเห็นว่าเป็นการบิดเบือน ทำให้คนอื่นไม่เชื่อ ควรพุ่งประเด็นไปที่การเรียกร้องให้สามารถ satire ได้ แต่ไม่ใช่ว่าเขาเห็นด้วยที่นิวโดน112
19,คนพูดสิทธิการแต่งกายก็ตรงกับเจตนารมที่ต้องการใส่ชุดไทยไปงานของคุณนิว คนพูดสิทธิล้อเลียนเสียดสีก็ช่วยยืนยันว่าสถานการณ์ที่เกิดขึ้นในแฟชั่นโชว์เป็นสิทธิ สิ่งเกิดขึ้นกับคุณนิวเป็นสิทธิ ที่ไม่ว่าคนจะอยากแห่แหน คนจะอยากparody หรือคนที่อยากจะร่วมแฟชั่นโชว์แบบคุณนิวก็ไม่ควรได้รับ ม112
20,"กูไม่เคย war กับนางแบกเพื่อไทยเลย แต่นี้ มึงเป็นเหี้ยอะไรอ่ะ นิวมันโดนยัดเข้าคุกเพราะแค่ใส่ชุดไทยไง มันให้คนมาตะโกนทรงพระเจริญมั้ย ใส่ชุดไทยคือเลียนแบบราชินีแล้ว  

แล้วคำพิพาทษาที่มันไม่เคยรับฟังความจากจำเลยเลย มึงก็โอเคกับคำตัดสินแบบนี้เหรอว่ะ "
21,ช่วงนี้มีงาน Oktoberfest ที่มิวนิค คือ ชุด Dirndl และ Lederhose ของผช รวมทั้งชุด ขายดิบขายดีมาก คนใส่กันทั้งเมือง ในช่วง 2 สัปดาห์ คือ เอาจริงชุดมันแพงมากๆ เลยน่ะ ของผญ คือ 100€+ ของผชทั้งชุด 400-500€+ คนต่างชาติที่มาเที่ยวก็ซื้อใส่กัน อยากให้เรามีงานใส่ชุดไทยแบบนี้บ้างอ่ะ สนุก
22,"ทีมไทยนิวเจนชุดนี้สร้างประวัติศาสตร์ไว้มากมายในช่วงเวลาครึ่งปี
ชนะเซอร์เบีย
ชนะจีน
ชนะเกาหลีใต้
เข้ารอบ 8ทีมสุดท้ายใน VNL

และล่าสุดชนะตุรเคีย !!
พวกเทอมันแน่ มันแน่มาตลอด!!!
#วอลเลย์บอลหญิง "
23,กลุ่มประชาชนละคร กว่า 200 คน เห็นแย้งกับคำให้การของตรีดาว อภัยวงศ์ สุขุม ในคดี ม. 112 นิว-จตุพร สวมชุดไทยเดินแฟชั่นโชว์ ลงนามออกแถลงการณ์  via @thai_enews #ยกเลิก112 #ปฏิรูปสถาบันกษัตริย์
24,จำคุก 2 ปี นิว จตุพร แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 
25,พี่นิวใส่ชุดไทยเกล้าผม ล้มตึงแล้วป่ะ สวยมากกกกกกกกกกกก
26,คลิปหลุดฟรี น้องนิว วัยรุ่นไทยหุ่นเพียวน่าเย็ด ใส่ชุดสวิมสูทมาเย็ดกับแฟน |  
27,คลิปหลุดฟรี น้องนิว วัยรุ่นไทยหุ่นเพียวน่าเย็ด ใส่ชุดสวิมสูทมาเย็ดกับแฟน |  
28,คลิปหลุดฟรี น้องนิว วัยรุ่นไทยหุ่นเพียวน่าเย็ด ใส่ชุดสวิมสูทมาเย็ดกับแฟน |  
29,จำคุก 2 ปี นิว จตุพร แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 
30,วันที่ 12 ก.ย. 65 น.ส. จตุพร แซ่อึง หรือนิว ถูกศาลอาญากรุงเทพใต้ ตัดสินให้จำคุก 2 ปีโดยไม่รอลงอาญา จากการแต่งกายเลียนแบบพระราชินีในการเดินแฟชั่นโชว์ของกลุ่มราษฎร เมื่อตุลาคม 2563 ทำให้การเรียกร้องในวันนี้ มีการแต่งชุดไทยเพื่อเป็นการแสดงสัญลักษณ์ในการเรียกร้อง
31,"""อดีตบิ๊ก ศรภ."" ชี้ ""นิว จตุพร"" ก็คือเหยื่อให้ออกมาติดคุกแทน พร้อมเผยสาเหตุแต่งชุดไทยแต่ถูกดำเนินคดี "
32,"""นันทเดช"" ชี้ ทำไม ""นิว"" แต่งชุดไทยแล้วติดคุก ไม่รอลงอาญา ลั่น เจตนาแน่นอนอยู่แล้ว ยุยงเด็กให้ออกมาติดคุกแทนตัวเอง 

อ่านต่อที่ 

#พลโทนันทเดช
#นิวจตุพร
#Theroom44 "
33,"นิว จตุพร โพสต์เฟสบุ๊ก ""โพสต์นี้ขอมาด่าสลิ่มด้วยความโมโหแบบ 300% มึงรู้อะไรป่ะอีห่า พวกมึงบอกว่ากูทำอะไรกูรู้ดีอยู่แก่ใจ ใส่ชุดไทยอย่างเดียวจะโดนได้ไง ใช่กูรู้ดีอยู่แก่ใจว่ากูทำอะไร กูถึงปฏิเสธไปว่ากูไม่ได้จะเลียนแบบใคร พอกูบอกเจตนากูไปมึงก็หาว่ากูแถว่ากูตอแหล "
34,"คลิกอ่านที่นี่  

#เบิกเนตร #นิวจตุพร #ศรภ #นันทเดช #แต่งชุดไทย

เถียงไม่ออก!ทำไม นิว แต่งชุดไทยแล้วติดคุก เบิกเนตรเป็นเหยื่อพวกช่างยุ "
35,เปิดความจริง! ทำไม 'นิว จตุพร' แต่งชุดไทยแล้วติดคุก 
36,"นิว จตุพร โพสต์ เฟสบุ๊ก "" โพสต์นี้ขอมาด่าสลิ่มด้วยความโมโหแบบ300% มึงรู้อะไรป่ะอีห่า พวกมึงบอกว่ากูทำอะไรกูรู้ดีอยู่แก่ใจ ใส่ชุดไทยอย่างเดียวจะโดนได้ไง ใช่กูรู้ดีอยู่แก่ใจว่ากูทำอะไร กูถึงปฏิเสธไปว่ากูไม่ได้จะเลียนแบบใคร พอกูบอกเจตนากูไปมึงก็หาว่ากูแถว่ากูตอแหล... "
37,คลิปโป๊ ครางเสียวหีลั่นหอพัก นักศึกษาไทยโดนเย็ดคาชุดเสียวมาก ขึ้นขย่มเย็ดแตกในรูหีขาวสวย เอากันทั้งวันก่อนรับปีใหม่ แฮปปี้นิวเยียร์แตกในไปเลย 
38,"แสบถึงกึ๋น ""เจี๊ยบก้าวไกล"" แต่งชุดไทยโวยศาลจำคุก ""นิว จตุพร"" ถาม ล้อเลียนแล้วผิดมาตราไหน

"
39,"รายละเอียดกรณีการตัดสินคดีของ นิว จตุพร ที่ไม่ใช่แค่การใส่ชุดไทยแล้วมีความผิด หากแต่เป็นพฤติการณ์ที่ล้วนเข้าข่ายดูหมิ่น หมิ่นประมาท ซึ่งมีความผิดตามกฎหมาย มาตรา 112 อย่างชัดเจน 
#LueHistory #ข้อเท็จจริง #ม112 #นิวจตุพร #แต่งชุดไทย "
40,"เพจ The Fadd BlogVlog โพสต์ ""มารับรองเท้าที่ประมูลจากน้องนิว(จตุพร) ผู้ต้องหาคดี ม.112 เป็นกำลังใจให้ น้องโดนคดีจากการใส่ชุดไทย ตกใจที่พอเจอตัวจริงน้องเป็นผู้หญิงและตัวเล็กมาก แต่น้องยังสู้ พวกพี่เอาใจช่วยน้องนะ มีไรให้พี่ช่วยบอกได้เลย""  "
41,"ศาลอุทธรณ์ให้ประกัน “นิว จตุพร” หลังใช้ชีวิตในเรือนจำ 3 วัน ตีราคาประกัน 200,000 บาทสำหรับคดี ม.112 กรณีแต่งชุดไทย  "
42,พิพากษาจำคุก 3 ปี คดี 112 “นิว” จตุพร ศาลเห็นว่าการแต่งชุดไทยเป็นการล้อเลียนเสียดสีราชินี ก่อนถูกคุมตัวเข้าเรือนจำ ระหว่างรอประกันชั้นอุทธรณ์ 
43,จำคุก 2 ปี นิว จตุพร แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 
44,"สัปดาห์ที่ผ่านมา ถ้าใครตกใจหรืองงๆ งวยๆ กับคำพิพากษาคดี ""ชุดไทย"" #ม112 ของนิว จตุพร

อยากจะบอกให้เตรียมใจรับข่าวต่อๆ ไปในสัปดาห์ข้างหน้า อาจมีอะไรให้เห็นอีกมากครับ 

ใครรู้สึกอยากแสดงออกหรือทำอะไรบ้าง ดีกว่าอยู่เฉยๆ ดูที่นี่ครับ  "
45,"บุคคลในรูปใดคือผู้ขับร้องเพลง ""รักแท้"" จากละครคุณชาย 
กด 1 น้องริน 
กด 2 น้องนุนิว
กด 3 น้องนูนู่ 
กด 4 น้องนูนู่แต่ใส่ชุดไทย "
46,@kandainthai แน่จริง พวกคุณมึง ไปทำแบบ ไอ้นิว สิครับ อย่าแต่งแล้วนั่งสวยๆ แบบนี้ คนอีกนับล้านที่ใส่ชุดไทย ทั้งไทยและ ต่างชาติ ไม่โดนคดีเพราะอะไร ครับ ถามจริง แยกไม่ออกจริงๆ หรา?  ทวิตอะไร ใช้อะไรคืด #ชุดไทย #นิวจตุพร #แต่งชุดไทย
47,ฟังเพลงที่นุนิวร้องแล้วรู้สึกอยากเดินใส่ชุดไทยหูทัดดอกไม้ เดินไปไหนไม่รู้แต่เดินไปก่อน
48,จริงๆ ผมว่าถ้าจะสู้อะ มันน่าจะต้องพูดกันตรงไปตรงมากว่านี้มั้ยนะครับ เราน่าจะรู้ๆ กันอยู่ว่าคดีที่โดนมันไม่ใช่ว่าผิดที่แต่งชุดไทย แต่ผิดที่ไปล้อเลียนควีน ทั้งนี้ ไม่ได้เห็นด้วยกับกับ 112 นะ และคิดว่าคุณนิวไม่ควรโดน แต่ตราบใดที่ยังมี 112 อยู่ นี่ก็เป็นกรอบที่กฎหมายครอบคลุมอะครับ 
49,ชาวม๊อบถามว่า ถ้าชุมนุมคราวหน้า ใส่ชุดไทยกันหมด จะจับกันยังไงล่ะทีนี้ ?? ศาลอุทธรณ์ให้ประกันตัวนิว โดยมีเงื่อนไข  via @thai_enews #ยกเลิก112 #ปฏิรูปสถาบันกษัตริย์
50,"จำคุก 2 ปี นิว จตุพร
แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 "
51,"คือดีใจที่ทุกคนดันบาร์
แต่ความคิดเห็นของเราอยากแชร์ทุกคนแบบนี้ไปด้วยนะคะ ว่าการที่เจ้าตัวมีเจตนารมเพียงแค่ต้องการใส่ชุดไทยไปม็อบแฟชั่นโชว์ แต่โดน112มีอยู่จริง 
#นิวจตุพร ฟังจากสเปซilaw เจตนารมนั้นคืออยากแต่งชุดไทยและสถานการพสกนิกรแห่แหนที่เกิดในแฟชั่นโชว์ไม่ใช่เจตนารมคุณนิว(1) "
52,"สวยสตรอง! สองนางเอกสาว ‘มิว-ณิชา’ มาอัปเดทนิวลุคจาก VALENTINO PINK PP ชุดเดรสสีชมพูโดดเด่น ตั้งแต่เสื้อผ้า รองเท้า ยันไอเท็มแฟชั่น สายแฟฯหลายคนที่รอคอยคอลเล็กชั่นนี้อยู่ เขามาถึงเมืองไทยเรียบร้อยแล้ว

#ValentinoPinkPPCollection
#mewnittha #nychaa 
#MintReports "
53,ชาวม๊อบถามว่า ถ้าชุมนุมคราวหน้า ใส่ชุดไทยกันหมด จะจับกันยังไงล่ะทีนี้ ?? ศาลอุทธรณ์ให้ประกันตัวนิว โดยมีเงื่อนไข  via @thai_enews
54,"@iacceso นิว จตุพร เค้าไม่ได้ parody อะไรเลยนะครับ
วันนั้นเค้าแค่อยากแต่งชุดไทย ""เฉยๆ"" อยากเป็นตัวเองที่สวย เฉยๆเลย"
55,"หากจะเอาผิดนิว จตุพร 
ข้อหาแต่งชุดไทยว่าเป็นการล้อเลียน ต้องไปแก้มาตรา 112
ให้ครอบคลุมไปถึงเสียก่อน 

เพราะข้อเท็จจริงคือกม.112 ได้เขียนเอาผิดทางอาญาเฉพาะในกรณีการดูหมิ่น หมิ่นประมาทและอาฆาตมาดร้ายเท่านั้น

#นิวจตุพร  #ชุดไทย "
56,อ๋อ ไอ้นี่เองเหรอที่บอกว่านิวใส่ชุดไทยผิดเพราะล้อเลียนเจ้า แต่ไม่มีกฏหมายล้อเลียน ก็ยัดด้วย112ไปให้ติดคุก2ปี ไม่รอลงอาญาก #ศาลเหี้ยๆ #วัฒนพล #นิวจตุพร #ยกเลิก112 #กษัตริย์ทรราช #ราชวงศ์ปรสิต 
57,"Youtube ชีพธรรม คำวิเศษณ์ : ข่าวแรงทวิตเตอร์ อมรัตน์ ก้าวไกล แต่งชุดไทยเข้าสภา ประท้วง ศาลลงโทษจำคุก 3 ปี นิว จตุพร มาตรา112 @AmaratJeab #ยกเลิก112 
 "
58,@madmax68176958 กูเห็นคนแต่งชุดไทยเยอะแยะ ไม่เห็นเขาจะโดนอะไรเลย ถ้าไม่อคติหรือโง่จนเกินไป ก็น่าจะรู้ๆกันอยู่ว่าเจตนาของนิวคืออะไร ก็คือ แซะ เสียดสี จิกกัด ดูหมิ่น ถูกป่ะ
59,@SlovesP2817 ไม่ได้อยากให้นิวโดน112 แต่ทำแบบนี้มันฟังไม่ขึ้น เพราะการพิจารณาคดี ศาลดูองค์ประกอบอื่นด้วย ไม่ใช่แค่ว่าใส่ชุดไทย แต่ยังมีการหมอบคลานจับเท้า เลียนแบบเหตุการณ์ในข่าว และคนอื่นตะโกนว่า ราชินีๆๆ สิ่งเหล่านี้ศาลสามารถนำมาใช้พิจารณา ถ้าไม่อยากโดนคดีก็ต้องรอบคอบ ไม่ใช่เถียงข้างๆคูๆ
60,ข้อสังเกตของ กฤษฎางค์ นุตจรัส ทนายความศูนย์ทนายความเพื่อสิทธิมนุษยชน ต่อ คำพิพากษาคดีของ นิว จตุพร 112 แต่งชุดไทย   via @thai_enews
61,"@oonginlavender เรื่องนี้ชัดเจนว่าเป็นการล้อเลียนหรือเลียนแบบราชินี เพราะไม่ใช่แค่ใส่ชุดไทย แต่แสดงท่าทางเลียนแบบ นอนจับเท้านิว และคนอื่นยังตะโกนว่า ราชินีๆๆ
หากต้องการประท้วง ก็ไม่ควรทำเหมือนจนเกินไป ไม่ควรล้อเลียน และไม่ควรบิดว่าโดน112เพราะแค่ใส่ชุดไทย โดยเฉพาะคนที่เป็น สส. หรืออาจารย์"
62,"เรื่องนี้ชัดเจนว่าเป็นการล้อเลียนหรือเลียนแบบราชินี เพราะไม่ใช่แค่ใส่ชุดไทย แต่แสดงท่าทางเลียนแบบ นอนจับเท้านิว และคนอื่นยังตะโกนว่า ราชินีๆๆ
หากต้องการประท้วง ก็ไม่ควรทำเหมือนจนเกินไป ไม่ควรล้อเลียน และไม่ควรบิดว่าโดน112เพราะแค่ใส่ชุดไทย โดยเฉพาะคนที่เป็น สส. หรืออาจารย์ "
63,"น.ส. จตุพร แซ่อึง #นิว ได้รับการปล่อยตัวจากทัณฑสถานหญิงกลางหลังศาลอนุญาตให้ประกันตัวในคดีความผิด ม. 112 จากข้อกล่าวหาว่าแต่งกายด้วยชุดไทยเลียนแบบพระราชินี เมื่อปี 2563 แต่ได้รับการลดโทษลงเหลือ 2 ปี เพราะให้การเป็นประโยชน์ เมื่อ 14 ก.ย.65
.
ภาพ ภานุมาศ สงวนวงษ์ 
#TNP #ThaiNewsPix "
64,"@ridertum61 @BenchaMFP คิดว่าแค่แต่งชุดไทยก็ติดคุกจริงเหรอ ทำไมคนอื่นๆแต่งแล้วไม่เห็นอะไรเลย มีแต่ไอ้นิวนี่ที่โดน
คิดสิ คิด "
65,"""อมรัตน์"" ยกคดี ""นิว"" แต่งชุดไทย การใช้ ม.112 มีปัญหาหรือไม่?
#ยกเลิก112 #ยกเลิกเกณฑ์ทหาร
 "
66,18:28 น. คุณนิวได้รับการประกันตัวแล้วนะคะ จากคดีใส่ชุดไทย ใส่ชุดไทยก็คือชุดไทยจะเรียกว่าคดีอะไร หรือจะล้อเลียนด้วยจริตอะไรก็ไม่ควรต้องติดคุกค่ะ #ม็อบ14กันยา65 
67,"อันนี้เป็นอีกเรื่องที่น่าเป็นห่วงมาก ไม่ว่ามันจะขู่เฉยๆหรือไม่ แต่มันไม่ควรมีใครต้องเจออะไรแบบนี้ ต้องใช้ชีวิตอย่างหวาดระแวงเพราะแค่ออกมาเรียกร้อง 

จากไลฟ์ @FriendsTalk4 ปล่อยตัว นิว คดีชุดไทย112 เรือนจำฯ

#ม็อบ14กันยา65 "
68,Live ปล่อยตัว นิว คดีชุดไทย112 เรือนจำฯ  via @YouTube
69,"แต่งชุดไทยมันไม่ผิด
ใครๆก็ใส่กันได้ไม่ว่าคนต่างชาติ  หรือใครๆ

แต่ถ้าอยากติดคุก 
ลองล้อเลียนให้เหมือนไอ้นิวจตุพรสิ 

ตั้งแต่ซักซ้อมการเดินและมีการกราบ
แล้วเปล่งเสียงทรงพระเจริญ

แล้วจะได้รู้ว่าผิดยังไง อีนังเตี้ย คลองถม
พฤติกรรมและการแสดงออกมันผิด อีเตี้ย "
70,"#เจี๊ยบก้าวไกล ท้าทาย ! ใส่ชุดไทยอวด หลัง นิว 3 นิ้วโดนคุกล้อเลียนสถาบันฯ
 "
71,"เตี้ย ไม่แผ่ว !!! เรื่อง 112 ป้าไม่เคยปล่อยผ่าน 
.
""เจี๊ยบก้าวไกล"" โผล่แต่งชุดไทย โวยศาลจำคุก ""นิว จตุพร"" คดี 112 ล้อเลียนสถาบัน ร้องแก้ไข ป้องกัน กลั่นแกล้งการเมือง เตรียมเดินสายเยี่ยม ผู้ถูกคุมขัง

 "
72,LIVE! ทัณฑสถานหญิงกลาง รอรับนิว จตุพร ประกันคดี112 ชุดไทย  via @YouTube
73,ศาลให้ ‘นิว จตุพร’ ประกันตัวสู้ต่อชั้นอุทธรณ์คดีม.112 เหตุแต่งชุดไทยไปม็อบ 
74,ศาลให้ประกันตัว นิว จตุพร ผู้ต้องหาคดี ม.112 กรณีแต่งชุดไทยสีชมพูและเดินพรมแดงร่วมชุมนุมที่ถนนสีลม วงเงิน 3 แสนบาท ห้ามออกนอกประเทศ ทำผิดซ้ำข้อหาเดิม และห้ามทำกิจกรรมยุ่งเกี่ยวกับสถาบัน #ไทยรัฐออนไลน์ 
75,ถึงเรื่องชุดไทยมันจะเป็นเรื่องเล็กน้อย แต่การเปลี่ยนแปลงใหญ่ๆ หลายๆ ครั้งก็มาจากการค่อยๆ ปลดแอกจากเรื่องเล็กๆ น้อยๆ นี่แหละ ขอบคุณคุณนิวนะคะ  
76,"ทูลกระหม่อมหญิงทรงกด Like รูปนิวแต่งชุดไทย

ทำไมพวก สองกีบ แจ้งจับน้อง ทั้ง ๆ ที่เจ้าสนับสนุน ยกเลิก112 "
77,"'เจี๊ยบก้าวไกล' แต่งชุดไทยโวยศาลจำคุก 'นิว จตุพร' ถามล้อเลียนแล้วผิดมาตราไหน 

กดอ่าน  "
78,ศาลปล่อยตัวชั่วคราว ‘นิว จตุพร’ โดนคุก 3 ปี คดี 112 แต่งชุดไทยชุมนุมราษฎร  ผ่าน @มติชนสุดสัปดาห์
79,"ศาลให้ ‘นิว จตุพร’ ประกันตัวสู้ต่อชั้นอุทธรณ์คดีม.112 เหตุแต่งชุดไทยไปม็อบ
"
80,"จำคุก 2 ปี นิว จตุพร
แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 "
81,"ศาลอุทธรณ์ให้ประกัน ‘นิว จตุพร’ หลังถูกพิพากษาคุก 2 ปี ผิด ม.112 จากกรณีการชุมนุมแต่งกายชุดไทยร่วมกิจกรรมแคตวอล์กราษฎร ‘รันเวย์ของประชาชน’ วางเงินประกัน 3 แสนบาท
#TheStandardNews 
"
82,@noirisaesthetic นิว โล่งอกไปที ชุดไทยที่เราเคยตัดไว้ตอนบุพเพก็คงต้องเผาทิ้งแล้วเนอะ เขาใส่กันมาต้องนาน จะมาสิ้นที่2565นี่แล้วหรอ
83,"ศาลปล่อยตัวชั่วคราว 'นิว จตุพร' โดนคุก 3 ปี คดี 112 แต่งชุดไทยชุมนุมราษฎร
#มาตรา112 
#ชุดไทย 
#หยุดคุกคามประชาชน 
"
84,"ศาลอุทธรณ์ให้ ""นิว จตุพร"" ประกันตัวชั้นอุทธรณ์คดี #ม112 จากเหตุแต่งชุดไทยไปร่วมม็อบแฟชั่นโชว์เมื่อตุลาคมปี 63 

 "
85,ศาลอนุญาตปล่อยตัว นิว จตุพร โดน ม.112 ข้อหาแต่งชุดไทย - เพิ่มเติมได้ที่  #ม112 #ปล่อยเพื่อนเรา #ยกเลิกม112
86,"-ด่วน-
ศาลอุทธรณ์มีคำสั่งอนุญาตให้ประกันตัว นิว จตุพร เคส 112 ใส่ชุดไทยเดินแบบ ."
87,ถ้าใส่ชุดไทยพูดคดี 112 ของนิวจตุพรในสภาจะปังมาก 
88,"ศาลอุทธรณ์ให้ประกันตัว ""นิว จตุพร"" คดี ม.112 กรณีแต่งชุดไทยเดินแฟชั่นสีลม จ่อปล่อยตัวออกจากเรือนจำเย็นนี้ #ยกเลิก112 #แต่งชุดไทย #ม112 "
89,@dog_overload ออกมากลบกระแสนิวชุดไทย
90,10357 ใส่ชุดไทยติดคุก ! เบื้องลึก นิว 3 นิ้ว ทำไมโดน 112  via @YouTube ดูให้จบครับความจริงอย่าไปเชื่อ3กีบเรื่องแต่งชุดไทยมันทำมากกว่าที่อ้างครับ
91,ข้อสังเกตของ กฤษฎางค์ นุตจรัส ทนายความศูนย์ทนายความเพื่อสิทธิมนุษยชน ต่อ คำพิพากษาคดีของ นิว จตุพร 112 แต่งชุดไทย   via @thai_enews
92,"ฟังคำพูดสุดท้ายก่อนเข้าคุกเพราะคดี 112 จากการใส่ชุดไทยเดินกลางถนนสีลมของ 'นิว จตุพร' ในม็อบวันที่ 19 ก.ค.2563
#ยกเลิกระบอบกษัตริย์ 
#ยกเลิก112 "
93,"ศาลสั่งจำคุก 2 ปี ""นิว จตุพร"" ม.112 แต่งชุดไทย ชุมนุมราษฎร ชี้ มีเจตนาล้อเลียนสถาบันฯ
#insightNewsThai #ข่าวการเมือง #ประยุทธ์ออกไป #เพื่อไทย #ก้าวไกล #ชัชชาติ #ประยุทธ์ออกไป #นายกเถื่อน

"
