,Tweet
25,"ค​ำ​ให้​สัมภาษณ์​กับ​สื่อ​ฯ​ของ​""เต้น​ ณัฐวุฒิ​ ไสย​เกื้อ"" พูด​ถึง​""ไอ้​เหี้ย​ตู่​ -​ ไอ้​ง่อย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" ไว้แบบนี้​  Cr.เจ้าของ​คลิป​  #ประยุทธ์ออกไป #ประวิตรออกไป #รัฐบาล​ส้นตี​นค​นเชีย​ร์ก็​ส้นตีน​ #พรรคเพื่อไทย #ครอบครัวเพื่อไทย "
26,แม่ก็เลี้ยงลูกเวรอย่างกูให้โตมาได้เนาะ ตัวกูขนาดนี้แล้วคงมุดกลับไปไม่มได้แล้วแหละ ดังนั้นมึงรีบออกไปซักที่ไอ้เหี้ยตู่ป้อม ออกไป
27,ข้อดีเดียวที่ไอ้ป้อมเป็นนายก คือกูไม่ต้องเปิดทีวีมาเจอหน้าไอ้เหี้ยตู่ กูไม่เคยเกลียดขี้หน้านายกคนไหนเท่าแม่งมาก่อนเลยจริงๆ รอวันมันจมกองตีนประชาชน
28,@Unrulycat2511 เกี่ยวเหี้ยไรกับสถาบัน ไอ้เหี้ยป้อมเป็นเจ้าเหรอ
29,"""กลุ่ม​สลิ่​มชิง​หมา​ขี้เรื้อน​เกิด​ปกป้อง​สถาบัน"" แจ้งความ​ชาวต่างชาติ​ไม่เอา""ไอ้​ง่อย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" Cr.เมือง​ไทย​ใน​กะลา​ #ประวิตรไปตาย​ #รัฐบาล​ส้นตี​น
อ้าวเฮ้ย..ไอ้ง่อย​ป้อม​ ไม่ได้เป็น​สถาบัน​ฯมึงไปปกป้อง​เผด็จการ​ชั่วๆทำฆวยอะไร.. ถุยส์​ไอ้​หน้าเหี้ย​ "
30,แตรง เหนียบ พมพ์ ไอ้เหี้ยตู่ ไอ้เหี้ยป้อม
31,"อีเหี้ย เห็นข่าวไอ้ป้อมลงพื้นที่ 8 ริ้วแล้วมีคนไปหอมแกเม แหกปากตะโกนรักลุงป้อมแล้วแขยงว่ะ นข.ไปสัมคนหอมแก้มว่าไอ้ป้อมทำอะไรบ้าง ตอบอึกอักบอกลุงป้อมพัฒนาน้ำ ดูแลจัดการดี 
กูงง มันทำงานตอนไหน?"
32,เห็นความเคลื่อนไหวของไอ้เหี้ยป้อมแล้ว สงสัยไอ้เหี้ยประยุทธ์จะโดนเขี่ยทิ้ง #รัฐบาลส้นตีน
33,ไอ้เหี้ย เนื้ออีป้อม ไม่ติดกับปากไปหรอวะ 55555 
34,อ้าว.. เหี้ยเอ๋ย แล้วหลวงพ่อป้อมไปมุดรูหีหมาอยุ่ที่ไหนล่ะ ห้อยหลวงพ่อป้อมแล้วปลอดภัย5555 ภัยสังคมสิไอ้สัสนรก#สิระยำ 
35,@shop_platoo ไอ้ตูบโง่กร่าง หน้าด้าน ไอ้ป้อมเหี้ยทุกอย่าง ไอ้ป๊อกเงียบๆกินเรียบไม่แบ่งใคร
36,ไอ้ป้อมเหี้ยกว่าไอ้ตู่..เยอะ..!!!
37,@BanglamungMan @TAKESHi50686371 ดาราฮ่องกงยังมีประเทศมากกว่าไอ้เหี้ยป้อมอีก ไอ้เหี้ยป้อมมีแต่เรื่องจัญไร
38,"มัน์สัสๆๆๆๆ เกมส์นี้ไม่ขอวิเคราะห์เทคนิคเหี้ยไรแล้ว แม่งสนุกมาก หายใจไม่ทั่วท้อง ทั้งสองทีมนี้ฟัดกันดุไปไหน โอ้ยย ป้อมเหลือ 2000 กูก็ยังไม่ยอมม

ไอ้โอมมันเอาาา เด็กมันมีของ !!!!

#RPL2022Winter"
39,@conandroid 655 หมดไอ้ป้อม รอสาดอนุทิน ป๊อก 8 ปี ประเทศฉิบหายไม่พอ ไอ้ทหารเหี้ย
40,กะว่าไม่กินข้าวในห้าง จะได้ประหยัด ไอ้ชิบหาย ตามสั่ง 70 ของจุ๊บจิ๊บอีก 50 น้ำอีก 40 ของแพงแบบชิบหาย ไอ้เหี้ยตู่ ไอ้เหี้ยป้อม
41,พ่อใหญ่ป้อมแน่จริงโชว์ผลงานหน่อยสิ จัดการไอ้ตำรวจยศใหญ่นี่หน่อยค่ะ เอาไอ้เหี้ยหลานคนนี้เข้าคุกหน่อยค่ะ สัีงการมาเลยค่ะ 
42,อีป้อมอีดอกอีเบาหวานกลับไปเลี้ยงหมาได้แระไอ้เหี้ยนี่
43,ลองเรียก ไอ้เหี้ยป้อม 
44,"แม้ใครจะพูดว่า เหี้ยหนึ่งไปเหี้ยหนึ่งมา ไม่แตกต่างกัน

แต่ผมรู้สึกมีความสุขที่ไอ้ระยำตู่ถูกสั่งให้หยุดปฏิบัติหน้าที่

อย่างน้อยผมก็อารมณ์ดีขึ้น สบายใจขึ้น  สุขภาพจิตดีขึ้น

ไอ้ป้อมมันทำให้ผมอารมณ์เสียน้อยกว่าไอ้เหี้ยตู่  55555"
45,ไอ้เหี้ยยดยดยมดสดยดงดง เฮววววว มอกุอยุ่ใกล้พวกกองทหารเหี้ยไรไม่รุ้ เมื่อวานกุเดินผ่านจะไปซื้อหนม มีทหารที่ยืนอยุ่ตรงป้อมเดินมาขอเบอร์ งง กัวอะพี่ เค้าตะโกนมาเรยว่าขอเฟสหน่อยคับ กุแบบกัวๆๆๆออกป๊ายยยยยยยยย
46,@meVnus เกิ้ลเรียกไอ้เมือกว่าลุงกำนันเพราะกะลังประชดแดกดันด่ากับสลิ่มอยู่ค่ะคุณวีนัส มันหยิบเอามาแค่นั้นเพราะสันดานเหี้ยชอบใส่ร้ายป้ายสี มันคงร้อนใจที่ถูกจับได้ว่าเอาอีป้อมนะคะ
47,@UrsularTVA @meVnus ร้อนหีที่ถูกจับได้ว่าเรียกไอ้ป้อมว่าพี่ จนมาบิดเบือนใส่ร้ายกุเลยเนาะ แน่จริงมึงเปิดสิว่ากุรีพลายใคร ก่อนหน้านั้นคุยอะไรกัน ตอแหลเหี้ยๆเลย #นางแบก
48,เห็นฝ่าย ปชต บางคนเรียกไอ้เหี้ยประวิตว่า พี่ป้อม นี่ก็ว้าวอยู่นะ
49,ไอ้เหี้ยป้อม ขอด่าล่วงหน้าก่อนเลยเพราะเหี้ยเหมือนกันแน่นอน #ประวิตร
50,ตอนนี้ไอ้ตู่ป้อมเปิดไวน์ฉลองแล้วอีเหี้ย หลอกคนไทยบ้างคนได้อีกแล้ว
51,ไอ้เหี้ยป้อมมายังไม่ถึงวัน ความชิบหายเกิดเลย แวะเติมกันหิดก่อนหลบเริน 
52,โถไอ้ป้อมแค่เดินยังสะดุด อีเหี้ย
53,กูไม่เอาทั้งอีเหี้ยตู่ อีเหี้ยป้อมนะ กูจะเลือกตั้งใหม่ คณะมึงเข้าคุกไปเลยนะ ไอ้เหี้ย #นายกเถื่อน
54,"หนีไอ้เหี้ยตู่ เจอไอ้เหี้ยป้อม เราจะฝากประเทศไว้กับพวกคนแก่หัวควย แบบนี้หรอ
#ประวิตร #ลุงตู่อยู่ยาว #นายกเถื่อน"
55,"เสนียดไปจัญไรมา

#ไอ้เหี้ยตู่
#ไอ้เหี้ยป้อม "
56,"สภาพประเทศไทยตอนนี้ก็คือ หนีไอ้เหี้ยมาเจอไอ้ห่า หนีหมารับใช้มาเจอลิงหลับ หนีคนสับปลับมาเจอคนไม่รู้ๆๆ หนีสถุลตู่มาเจอสะดุดป้อม

หนีจิ๊กโก๋มาเจออันธพาล
หนีเบาหวานมาเจอมะเร็ง
หนีความเส็งเคร็งมาเจอเสนียดจัญไร
ไม่ว่าจะหนียังไงก็ไม่พ้นสักทีค่าาาาาาาา #ประวิตร #8ปีประยุทธ์"
57,อีตู่ไปอีป้อมมาคือเรื่องที่เหี้ยที่สุดที่ไม่ควรเกิดขึ้นเลยอะ เอาไอ้แก่สภาพใกล้ลงโลงมารักษาการ คิดไรกันอยู่เอ่ยยย
58,"เหมือนอีศาลโยนหินถามทาง ถ้า ประวิตร ขึ้นแล้วคนด่า ก็จะกลับคำให้ ประยุทธ์ อยู่ต่อ คือประชาชนอย่างพวกมึงไม่มีสิทธิเลือก มีแต่ รัฐบาลส้นตีน ซ้ายกับขวาแค่นั้น
อยากให้โคตรเหง้าพวกศาลห่ารากนี้ได้รับผลกรรมบ้างเหมือนกันนะ
แต่คนเหี้ยอย่างไอ้ตู่กับไอ้ป้อมยังได้ดี เวรกรรมแม่งก็ไม่มีจริง"
59,@paritchi ไอ้ป้อมแค่รักษาการ ท่าจะกลัวควรกลัวนายกพระราชทานมากกว่า   มีความน่าจะเป็นว่าถ้าฝ่ายพรรคประชาธิปไตยชนะ พวกมัรจะใช้มวลชนมาก่อความวุ่นวายมาสู้กันและให้ทหารมารปห และนายกพระราชทานก็จะมา แล้วก็จะวนลูปความเหี้ย
60,@GiJOE2538 เกรงว่าไอ้เหี้ยป้อม จะไปกราบตีนไอ้แม้วเรียบร้อยแล้วนะสิ
61,ไอ้เหี้ย ให้ไอ้เหี้ยป้อมขึ้นเป้นรักษาการนายก กูถามจริง คนดีๆอายุน้อยๆมีความสามารถพัฒนาประเทศมีตั้งเยอะตั้งแยะ ทำไมต้องเป็นไอ้เหี้ยป้อมว่ะ เดินเองยังไม่ได้เลยมั้งแก่จนจะลงโลงเนี่ย
62,"แม่ค้าในฟิวเจอร์รังสิต
A: เธอไอ้เหี้ยตู่ไม่ได้ไปต่อนะ
B: แต่ชั้ลได้ยินว่ามันจะอยู่ยาวหนิ
A: นี่เพิ่งดูข่าวในเพจมาไอ้เหี้ยป้อมได้ขึ้นต่อ เมื่อกี้นี้เลย
B: ....... ทำหน้าปวดขี้ 
#ประวิตร #8ปีแล้วนะไอ้สัส
#ม็อบ24สิงหา65 #นายกเถื่อน"
63,"ไอ้เหี้ยป้อม
แตกแล้ว ทำไมไม่มากันบ้านกันหน่อย นี่ก็จะไปออลอย่างเดียว แพ้เลยเห็นมั้ย"
64,"เสนียดไป(ตู่)จัญไรมา(ป้อม)
ไอ้เหี้ยนี่ถามอะไรก็ไม่เคยรู้ นายกเถื่อน 8ปีแล้วนะไอ้สัส"
65,ออกไปเถอะอีเหี้ย  คณะพวกมึงอ่ะออกให้หมด แค่นี้ประเทศก็ชิบหายเกินพอละ ยิ่งอีป้อม โห่ไอ้สัด
66,ไอ้ป้อมเป็นนายก​ ไอ้เหี้ย
67,พิจารณาเหี้ยอะไรตั้ง 2เดือน ไอ้ป้อมแค่ถ่วงเวลา 
68,อีป้อมขึ้นรักษาการนายกแทน แล้วดูสภาพมันเดินนิ่งๆยังจะล้มไอ้เหี้ย
69,อีเหี้ย ป้อมมาแทนจริงป่ะ ไอ้ควาย
70,ไอ้เหี้ยตู่ไป ไอ้จรรไรป้อมมา ก็เหมือนผ่าตัดมะเร็งเสร็จแล้วติดเอดส์ต่อเลยนะมึง  #8ปีแล้วนะไอ้สัส #นายกเถื่อน
71,ไอ้เหี้ยป้อมตายได้แล้ว
72,"ลื่นล้มเอาหัวโขกโถส้วมตายซะมึงไอ้เหี้ยป้อม
#นายกเถื่อน"
73,ให้อีประยวยหัวคุดหยุดปฏิบัติหน้าที่แต่ถามว่าทุกวันนี้มันทำอะไรมั้ยก็ไม่ แล้วอีป้อมมาแทนไอ้เหี้ยนี่พูดคำอื่นเป็นมั้ยนอกจากไม่รู้ๆ หนีขยะเปียกมาเจอขี้ เละเทะมากอิไทยแลนด์‍
74,โอเคจะได้เปลี่ยนชื่อ แต่อนาคตจะได้ใช้ไอ้เหี้ยป้อมออกไปมั้ยคะ #นายกเถื่อน
75,ไอ้เหี้ยมันต่างกันตรงไหนวะประยุทธ์ออกป้อมต่อไอ้เหี้ย
76,ให้ลาออกไม่ใช่หยุดปฎิบัติหน้าที่ไอ้ห่า นี่จะหาทางลงเนี่ยนๆนะเนี่ย แล้วไอ้เหี้ยป้อมไม่ได้ต่างกันเลยเหี้ยเสมอกัน ควย #นายกเถื่อน
77,ไอ้ป้อมจะหามเข้าโรงอยู่แล้วจะมาเป็นนายกควยไรไอ้เหี้ย
78,ลุงตู่ลุงป้อมเหี้ยไร มีแต่ไอ้เหี้ย
79,@massmob2020 ไล่ไอ้เหี้ยป้อมต่อ..ไม่แผ่ว
80,"@viskxxxy1 ไอ้ป้อม, ไอ้หนูเหี้ยพอกัน"
81,ไอ้เหี้ยตู่ไปแล้วมึงยังจะเอาไอ้เหี้ยป้อมมาอีกหรออีควายไม่รู้ๆๆๆๆทั้งวันเย้ดแม่ชาตินี้ไทยแลนด์ดินแดนกะลาก็ไม่เจริญซักทีอีสัส 
82,เหมือนจะดีแต่ก็ไม่ได้ดีขึ้นเลย หาคนใหม่เถอะไอ้เหี้ย อีป้อมจะตายแหล่ไม่ตายแหล่อยุ่ละ
83,เหี้ยป้อมขึ้นแทน ไอ้ชิบหาย ควย
84,พ่อมึง อิประวิตรขึ้นรักษาการเหรอ เดินยังไม่รอด มึงจะเอาแรงที่ไหนมาดูแลประเทศ ไอ้เหี้ยป้อม #นายกเถื่อน
85,ไอสัสเย็ดแม่ แม่งออกแต่มีไอ้เหี้ยป้อมต่อ คือเป็นอะไรที่หัวควยมากกกกกก ไม่รู้ๆๆ ไม่รู้ควยอะไร ประเทศนี้ต้องมีนายกที่เดินแทบจะไม่ไหวแล้วก็ตอบแต่ไม่รู้ๆๆหรอวะ หน้าหี หัวควย แม่เย็ด #8ปีแล้วนะไอ้สัส #นายกเถื่อน
86,ก็คือยังไง ไอ้เหี้ยป้อมขึ้นต่อใน ตน.รักษาการเหรอ 
87,"ไอ้เหี้ยป้อมขึ้นรักษาการแทนโอ้ยยยยยย

#นายกเถื่อน"
88,ขอให้มึงตายทั้งครอบครัวไอ้เหี้ยตู่ ไอ้เหี้ยป้อมก็ขอให้หกล้มตาย ไอ้สัด #นายกเถื่อน
89,เดี๋ยวแม่งให้ไอ้เหี้ยป้อมมาอยู่แทน ทีนี้น่าจะจนเหี้ยป้อมตายอะ สัส แดกกันไม่หยุด ไม่รู้จักอิ่ม พวกเหี้ย #นายกเถื่อน
90,ไอ้เหี้ยป้อมอีกตัว เมื่อไหร่จะตาย! #นายกเถื่อน
91,@KaewsutthiNirut สิ่งที่ที่ไอ้เหี้ยแม้วต้องการคือให้ไอ้ป้อมขึ้นแทน  เพราะไอ้ป้อมมันกราบตีนไอ้แม้วเรียบร้อยแล้วไง
92,กูขอเถอะ ผู้ประกาศข่าวอะ เวลารายงานข่าวคำสัมภาษณ์พวกเผด็จการ มึงอ่านคำพูดมันเลยได้มะ ไม่ต้องเอาเสียงมันมาออก รำคาญหูชิบหาย ฟังทีไรก็หงุดหงิด ทั้งไอ้เหี้ยตู่ไอ้เหี้ยป้อมเลย ไอ้เหี้ยหนูอีกตัวนึง
93,กูด่าไอ้ป้อมมากไปปะ อาจารย์ถามเหี้ยไรกูก็ไม่รู้
94,ไอ้เหี้ยป้อมนี่ให้มันเดินแบบไม่ต้องมีคนพยุงก่อนเถอะ
95,กูอยากจะจิกหนังหัวป่ามาเขย่าๆแล้วถามว่ามึงจะเดินไปเหี้ยไหนนัก จะฟาร์มยันป้อมมึงแตกเลยไหมไอ้ควายยย!!!
96,@cnew888 ส่วนมึงก็ใกล้จะตายห่าอยู่ละ เก้าอี้ต่อไปที่มึงจะนั่งคือวิลแชร์โว้ยไอ้เหี้ยป้อม 
97,ตีป้อมวันนี้ ได้ดาวมา25ดาว  รู้ว่าเพื่อนดีใจที่กูกลับไปเล่น แต่ไม่คิดว่าจะขนาดนี้
98,"อย่ามั่นใจนักหมอ  ศาลก็พวกมันนะ..อย่าลืมดิ
ไอ้ป้อม ก็บอกอยู่อีก 2 ปี
ไอ้เหี้ยณุ ก็บอกจะพิศดารกว่าเดิม
ตุลาการเหี้ยๆ 2 ตัวก็บอกให้นับปี 62
มันก็คงอยู่ได้นั่นแหละ  เว้นแต่ ปชช.จะออกมากระทืบมัน
"
99,@Whale74925050 @MRRak18 @weeranan จัดไป รอคนเปิด เมือไร ไอ้เหี้ยตู่ ป้อม ป็อก ตายคาตีนแน่นอน
100,@p_npnm ไอ้เหี้ยป้อมกราบตีนไอ้แม้วเรียบร้อย
101,"“ตรงไปตรงมา”
กู: *หันไปดูตู่ ป้อม ป๊อก หนู โอ๋ ชาย และไอ้เพื่อนเหี้ยที่จีบผู้หญิงไม่ซ้ำทุกผับ ไอ้เวร "
102,"อยู่มา 8 ปี เพิ่งจะมาคึกเหี้ยอะไรตอนนี้วะ ป้อม
8 ปีที่ผ่านมา น้ำไม่เคยท่วมเลยหรือวะ
ไอ้ส้นตีน "
103,สส พรรคเหี้ยๆ ไม่เห็นหัวประชาชน เห็นแต่หัวไอ้ป้อม  ขอมันคุ้มครองมึงให้ตอลดรอดฝั่งนะ สันดานน  #ประชุมสภา
104,"จำหน้าไว้อย่าไปเลือก งานมึงคือควรไปประชุมสภา ไม่ใช่มาต้อนรับ ไอ้เหี้ยป้อม
#ประชุมสภา 
#สภาล่ม "
105,@Lilithlawpie พฤติกรรมพวกกูไม่ใช่ยังไงวะ โหวตก็กดเอาหาร100ไม่ปัดเศษ=เอาหาร500หรอวะตรรกะปัญญาอ่อนแบบนี้เชิญไปเรียนมาใหม่นะ มึงอยู่กับความมโนเพ้อหลอนเยอะไปนะแดกยาและไปนอนไหมมึง ใครด่าพวกมึงว่าจะไปดิลกับป้อมวะและติ่งหมาตัวไหนที่มันด่าส้มว่าไปเป็นนั่งร้านให้ตู่นะมึงรวมเรื่องได้มั่วมากไอ้เหี้ย
106,"โคตร​เหี้ย​โคตร​สัส​พรรค​พลัง​ประชา​โจร​ ทำเค้ก​อวยพร​วันเกิด​""ไอ้​ง่อย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" แบบผิดกฎหมา​_ไทย.. ฆ​วย​ Cr.เมือง​ไทย​ใน​กะลา​ #ประวิตรไปตาย #พรรคพลังประชาโจร #รัฐบาลส้นตีน
ขอให้วันนี้​เป็น​ต้นไปขอให้""ไอ้​ง่อย​ป้อม"" ตายโหง​ตาย​ห่า​ไวๆว่ะ "
107,@404NOTF65767728 ระวังไอ้เหี้ยป้อมให้ดี  ไม่รู้ไปกราบตีนไอ้แม้วตอนไหน
108,"ป้อม โปรดรีบลงนรกไปเถอะ ไอ้เหี้ยอัปรีย์ จัญไร
#ส่องทวิตยามเช้า "
109,"@chalanlala ถุยสสส มึงไม่ฟังไอ้เหี้ยป้อมพูดรึ
อีควาย"
110,@404NOTF65767728 @Kan23011 ระวังไอ้เหี้ยป้อมไว้
111,@Kea_New ระวังไอ้เหี้ยป้อมไว้
112,พน.สอบตีป้อมจนตาจะบอดไอ้เหี้ย
113,"มึงไปทำอาหารอินเดียขายเถอะ!!! 

#ไอ้เหี้ยตู่ #ไอ้เหี้ยป้อม #ธนกร #เทพโพธิ์งาม #ป๋าเทพ #สามกีบ #สลิ่ม #สลิ่มVSสามกีบ "
114,เป็นควยไรอิผักชี มึงจบได้ไงทำไมไม่ดันป้อมมาใจดีรอทีมอื่นคือมึงถามเพื่อนในทีมยังไอ้ห่าแล้วเป็นไงแพ้สิ พอสาวชมน่ารักก็เหลิงใหญ่วิ่งเข้าไปแจก มันน่าด่ามั้ยไอ้เหี้ยนี่อะแล้วกุก็โดนด่าด้วย
115,โมโหเรื่องงานกลุ่มเลยไปตีป้อมแก้เครียด ไอ้เหี้ย
116,@Thairath_News มึงไม่ถามลุงป้อมลุงตู่แบบนี้บ้างวะไอ้เหี้ย ดูแล้วกูขึ้นเลย สัสเอ้ย
117,ไอ้เหี้ยป้อมเหยียด Radz ทัวร์ Radz ไปลงแม่งหน่อยดิ หรือหาทางไปไม่เจอ #เรียนที่ไหนก็เหมือนกัน 
118,"@shutup2557 ยังไงมึงก็ต้องบอกว่าเป็นเงินยืม
เพราะถ้าไม่ใช่ นายมึง(ไอ้เหี้ยป้อม)ก็ต้องโดนด้วย"
119,@Marc75209514 ปปช ไอ้เหี้ยป้อมตั้งมาทั้งนั้น หมามันจะกล้ากัดเจ้าของเหรอ
