text,class
แค่โดนแพรรี่ด่าอีทนายกับนายชาตรีก็ไม่รู้จะเอาหน้าไปไว้ไหนแล้ว อันนี้ตอกตะปูฝาโลงไปเลย,1
ขำที่ทนายฮีบอก พระด่าเป็นความผิดส่วนตัวให้ไปฟ้องเอง เขาไม่ได้ด่าผม เอ้า แล้วแพรรี่มันไปด่าไรมึงวะ งงว่ะ,1
#แพรรี่ เมื่อวานใน #โหนกระแส ก็เห็นกันไปแล้วว่าเป็นยังไง ที่ฝั่งนั้นมาด่าแพรรี่ต่างๆ ใช้สิทธิ์ในกฎหมายข้อไหนมาด่ากูก่อน แล้วนี่ก็เช่นกัน ที่เอาสิทธิ์อะไรไปด่าเค้าว่า ขี้ คิดว่า แพรรี่ ก็น่าจะไม่ยอมเหมือนกันที่มาถูกด่าแบบนี้ อยากให้แพรรี่ ฟาดอีกสักแมทซ์,1
กุดูแพรรี่ด่าทนายในโหนกระแสแบบมันส์มากสนุกเว่อร์555555555555555555,1
กฏหมายข้อไหน ถึงด่าพระ อีดอก กุปวดหัวเลย ก็เค้าพูดว่ามันเป็นสิทธิที่เค้าจะพูด มันถามว่าสิทธิข้อไหน ก็สิทธิในการพูดไงวะ 55555 ก็พูดไป โดนฟ้อง แพรรี่ก็รับเองไง,1
ดูโหนกระแส แพรรี่ ละแบบ ถ้ากุโดนพระด่าหมิ่นประมาท กุไม่มีสิทธิ์ด่ากลับแค่เพราะมันห่มเหลืองเหรอ ตลก #ทีมแพรรี่,1
อ่านโพสทนายชื่อดังสองคนที่โพสเกี่ยวกับทนายยมราชที่ฟ้องแพรรี่ แค่ตัวบทกฎหมายที่มันเอามาอ้างก็ตีความผิดๆละ พ้อยของมาตรานั้นคือคณะสงฆ์หมายความถึงพระ2คนขึ้นไป แพรรี่ด่าอีพระนั่นคนเดียว ดีไม่ดีอีทนายจะโดนข้อหาแจ้งความเท็จด้วย มันเป็นทนายได้ไงวะ,1
ดีไม่ดีอีพวกที่มาไฟท์กับแพรรี่ใน # นี้ก็โล้นห่มเหลืองแหละ เจ้าชายสิตทัตถะไม่พอใจกะสิ่งนี้ค่ะ ตรัสรู้เพื่อให้ละกิเลส และใช้ชีวิตให้เป็นสุข อยู่กับความเป็นไปของสังขาร ไม่ใช่มานั่งแซะชาวบ้านเขา อยากแซะอยากด่าเขา ละกิเลสไม่ได้ก็ศึกมาทำมาหาแดกค่ะ อีควาย #โหนกระแส,1
แพรรี่สอนให้รู้ว่าเวลาโดนด่า ด่ามันกลับค่ะ มีสิทธิ์อะไรมาด่ากูคะ กูอยู่ของกูเฉยๆ ไม่รู้จักกันมาด่ากู เจอกูด่ากลับร้องเหมือนหมา ตั้งแต่ลนจ. ละเป็นเหี้ยอะไร รู้ว่าอยากดังอยากมีงานมีชื่อเสียงตัวคนเดียวไม่มีใคร จริงๆเป็นคนเก่งมีความรู้แต่ภาพลักษณ์กลายเป็นอีแก่ปากดีไปทั่ว #แพรรี่,1
ถ้ากูเป็นแม่แพรรี่กูก็ด่าค่ะกูอยู่กูเฉยๆมาเรียกกูจิกหัวว่าอีและหาว่ากูเป็นลูกกำพร้าแบบนี้กูก็ด่ากลับค่ะ ทนายก็เก่งเหลือเกินเรื่องก็ไม่ได้เกี่ยวกะตัวเองเลยก็ใส่เกือกไปแจ้งความเขาอ่ะเนอะสรุปง่ายๆ ทนายอยากดัง #แพรรี่ไพรวัลย์ #แพรรี่,1
คิดจะด่าแพรรี่ เกรงใจอเวจีปอยเปตนิดนึง #แสนล้านภพแสนล้านชาตินะมึง,1
เปิด ตต กูเจอแพรรี่ เวลาด่าที กูชอบมาก,1
ชอบที่แพรรี่จะสื่ออ่ะ กุด่าคนที่เอาผ้าเหลืองมาบังหน้าไง ห่มผ้าเหลืองไม่ใช่ว่าจะเป็นพระทุกคนมะ เค้าด่าอลัชชีในคราบพระ อิดอก เถียงไม่ทันยังจะแถ #แพรรี่,1
กุชอบแพรรี่ด่ามาก เครื่องด่าทำงานแร้ว ปากจัดชิบหาย อีทนายขิตคาจอไปค่ะอีดอกเถียงไม่ทัน 555555556555 #แพรรี่,1
แล้วแพรรี่ด่ามุง,1
ชอบที่แพรรี่ด่าแม่ของธรรมราชอ่ะ 555 สาแก่ใจ อีแก่ เสือก เสร่อ และค่อนข้างมั่นใจว่าเป็นสลิ่มแน่นอน อีแก่พวกนี้ต้องโดนแบบนี้ เอาอีกค่ะ ด่าอีก  #แพรรี่,1
พระด่าแพรรี่ = ความผิดส่วนตัว แพรรี่ตอบโต้กลับ = กลายเป็นส่วนรวมเฉย ตรรกะพังพินาศมากอิเหี้ย  #โหนกระแส,1
แพรรี่ด่ามันมากอิดอก,1
อ่านคอมเม้นแล้วก็ถอนหายใจ พวกหัวหงอกด่าแพรรี่ฉอดๆ แต่ในเฟสโพสต์ธรรมะประจำวัน 5555555 ตลกชิบหายยพวกมือถือสากปากถือศีล #แพรรี่,1
แล้วอนุโมทนาสาธุละ แล้วเป็นพระเสือกด่าญาติโยมได้ด้วยเร้อะแบบนี้ศิลแตกมั้ย แล้วอีทนายอ่ะเสร่อมาทำไมยุ่งทำไมแค่นั้นเอง คนที่ทำให้เกิดเรื่องอีทนายจ้าาา ไม่ใช่แพรรี่,1
กูงงกับคนที่ไม่เข้าใจสั้นๆคือคนด่าแพรรี่คือพระที่มีชีวิตอยู่เมืองนอกแล้วมันใช่เรื่องของพระมั้ยที่มาด่ามาแขวะเค้าแล้วเจอเค้าด่ากลับเสือกรับไม่ได้กลายเป็นแพรรี่ด่าพระสงฆ์ทั้งคณะอยากจะบอกกับคนที่เข้าใจแบบนี้ว่าควายจริงๆถ้าคนที่ด่ามึงเป็นพระมึงด่าพระกลับมั้ยหรือมึงจะยกมือไหว้ #แพรรี่,1
ทีพระด่าแพรรี่ หล่ะ ก็ไม่ได้อยู่ในไลฟ์เหมือนกันค่ะ ไอ้ทนาย ฟาย,1
แล้วพระแม่งด่าแพรรี่ก่อน กุเป็นแพรรี่กุก็ด่ากลับ มึงเป็นไครมาเรียกจิกหัวกุ,1
แล้วแพรรี่ด่ามึงๆกูๆออกสื่อช่องหลักแบบนี้ก็ไม่คิดจะติติงกันหน่อยเหรอ พอๆกันแหละ #โหนกระแส,1
เครื่องด่าสาวแพรรี่คือรัวมาก จับใจความที่ทนายพูดไม่ได้เลยเพราะฮีพูดไม่ทันสาวแพรรี่ กุงงมาก 55555555555555555555555555,1
เรื่องของเรื่องคือไปด่าแพรรี่ก่อนด้วยนะ นางก็ขายของอยู่ดี ๆ เนรคุณเอย ลูกกำพร้าเอย อีแพรรี่เอย ทำไมพระไม่สำรวมวาจาล่ะเจ้าคะ! #โหนกระแส,1
วันนี้ดูโหนกระแสแบบผ่านตา คือเห็นคุณแพรรี่เลยลองดูว่ามีข่าวอะไร อิดอกคือมันมาก ด่าไฟแลป,1
นางไม่ว่าใคร ถ้าพระเจ้าอาวาสวัดไทยจากเมืองนอกไม่มาว่านางก่อนนะคะ คนนั้นอยู่ในคราบพระแท้ๆยังตั้งกล้องด่านางว่าอีแพรรี่ เรียกมันนั้นนี้,1
ในฐานะชาวพุทธ  ทนายคนนี้แมร่งทำให้กุรู้สึกว่าไม่ต้องมีพระเลยก็ได้นะปท.นี้ พระเหี้ยก็ด่าว่าไม่ได้ helloooooooooo ปด.คือเสือกไปแขวะเค้าก่อนด้วย #โหนกระแส  ใดๆคือแพรรี่สรุปได้ดี,1
ไอ้เหี้ยตู่ไอ้หน้าส้นตีน,1
#รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน #ผนงรจตกม #นะจ๊ะพ่องมึงสิ #ไอ้เหี้ยตู่ #นายกควาย #ปล่อยเพื่อนเรา,1
น่าจะตีหม้อ มากกว่านะไอ้เหี้ยตู่,1
เอาไปเล่นกับเพื่อนมึงโน่นศิลปินกูไม่ได้สนิทกับพวกมึง จะทำอะไรมีมารยาทนิดนึงกาละเทศะต้องมีเกิดเป็นคนไม่ใด้เกิดเป็นหมา อย่าเที่ยวหาไปเลียหัวชาวบ้านเรื่อยเปื่อยมันเรื้อนไม่น่ารัก,1
"พรรค​ร่วมฝ่ายค้าน​ยื่น​ป​ปช.(ปกป้อง​คนชั่ว)​ สอบ ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร และ​พวก​ ใช้งบกลางไม่ตรงวัตถุ​ประสงค์​-ปล่อย​ปละละเลย​ไม่ติดตามทุจริต​จัดซื้อ​ถุงมือ​ยาง​2,000ล้าน cr.สำ​นักข่าว​ราษฎร​  #พรรคก้าวไกล #พรรคเพื่อไทย #พรรคเสรีรวมไทย",1
แต่อีพวกดอกทองที่มาลงกับศิลปินเสร่อกว่าค่ะ,1
รู้แต่แกล้งโง่เพราะอยากแซะรึเปล่าโถอีดอกทอง ฝากแปลไปให้พวกมันอ่านด้วย,1
สงสารซวยเลย วิธีเผด็จการ ยัดเยียดข้อหาใช้กำลังสร้างวาทกรรมโกหกหลอกลวงตอแหล เหมือนไอ้เหี้ยตู่กับพวก หรือไอ้น่องลายกับสมุนมัน แล้วก็จะมีประชาชนสมองขี้เปียกอย่างสลิ่มคอยออกจากรูมาปกป้อง จุดจบคงไม่ต่างจากรัสเซียครับ,1
แล้วกูกำลังจะไปต่อคิวเป็นเมียพี่ตะวันตามคุณหมีเนี่ยยยยยยยย  โอ๊ยยยยยยยยยยย  #readawriteล่ม,1
กลับมาเดี๋ยวนี้นะ อีปลาทองงงงงง #readawriteล่ม,1
อันดับอื่นไม่มีปัญหาแต่อันดับ 4 ไอ้เหี้ยตู่ทำไมคนไทยยังดักดานโง่ไม่เลิก เหมือนพี่แขกบอกเกลียดประยุทธ์ไม่เท่าเกลียดพวกที่สนับสนุนให้มันมีอำนาจ ทำไมกูต้องมีเพื่อนร่วมชาติเฮงซวยแบบนี้,1
โคตร​เหี้ย​โคตร​สัส​ศาล​ไม่​ยุติธรรม​ของไทย​ ยกฟ้องไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร ที่สลายการ​ชุมนุม​14-16ตุลาคม​2563  อ้างว่าไม่ได้ทำเกินกว่าเหตุ​ cr.เมือง​ไทย​ใน​กะลา​ #ประยุทธ์ออกไป #รัฐบาล​ส้นตี​นค​นเชีย​ร์ก็​ส้นตีน​ #ศาลเหี้ย ความยุติธรรม​ไม่มีสักนิด ฆ​วย,1
แก่กะโหลกกะลาไอ้เหี้ยเนี่ย ทุกวันนี้ยังตรวจสอบบันชีทรัพย์สินหนี้สินไอ้เหี้ยตู่ไม่ได้เลย ตกลงนาฬิกาพ่อแหวนแม่ใครยังไม่รู้เลย ทุกวันนี้ตรวจอะไรได้มั่ง,1
อยู่ไปทำเหี้ยรั๊ย ยิ่งอยู่ยิ่งเหี้ย ไอ้เหี้ยตู่ออกไป  55555,1
เอาสมองซึกไหนคิดค่ะให้ระบบเหี้ยๆไอ้ตู่คงอย​ู่​  ระบบเจริญ​ๆไม่รับไว้​ ดร.แบบมึงคงจับฉลากได้จากน้ำพริกที่เค้าแถมมาให้แน่เลย​ ถึงดูโง่กว่าป้าแต๋วที่ขายของตามตลาดนัด,1
เขาคงไม่อยากเจอไอ้เหี้ยตู่ แม่งคุยไม่รู้เรื่อง5,1
เสรี​ ตู​ด​มีไว้​เสียบ ออกมา​เชียร์​ อ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร สุดลิ่มทิ่มดาก​ แถมยังเพ้อเจ้อ​ระบอบ​ทักษิณ​อีกแระ ถุยส์​ไร้สาระว่ะ  cr.เมือง​ไทย​ใน​กะลา ความรู้​ที่เรียนมามึงจบที่ไหนเผามหาวิทยาลัย​นั้นทิ้งเถอะ สอนคนให้โง่ยันโคตร ฆ​วย​ #ประยุทธ์ไปตาย,1
ประเทศผู้นำเหี้ย+โง่+เฮงซวย ใครจะมา งานไอ้ตู่จัด เหมาะกับคนเหี้ยเหมือนกัน คนดีๆเขาถึงไม่มาไง,1
ไอ้ปากปีจอเหมือนไอ้เหี้ยตู่นิ,1
เอ่อ ครับ แล้วไง น้ำท่วม กทม เรียกหา ชช ทั้งที่พื้นที่ส่วนใหญ่เป็นของ พปชร น้ำท่วม ปทุม คุณก็เรียกหา บิ๊กแจ๊ส ทำไมไม่โทษผู้ว่าหมูป่า น้ำท่วม เชียงใหม่ ไอ้วีก็เรียกหา สส เพื่อไทย ไม่เรียกหา ผู้ว่าคนดีย์ล่ะครับ ยังไงคุณก็ใช้อคติตัดสินหาคนผิดอยู่แล้ว งั้นโทษไอ้เหี้ยตู่เลยดีกว่า,1
จะ30กันยาแล้วน่ะ​ กูยังจนอยู่เลยไอ้เหี้ยตู่,1
ไม่เลือกไอ้ ตู่ ไม่ชูไอ้ป้อม จะยึดอำนาจอีกครัั้งนะว่าซ่านน ประเทศนี้ไม่มีแล้ว สามัญสำนึก มีแต่ด้านได้อายอดหน้าเหี้ย แบบนี้,1
อ่านเม้นแล้วมีแต่หน้าอีตู่ลอยมา เข้าไอ้เหี้ยนั่นหมดเลย ถ้ามีคำว่าโง่ด้วยนี่เข้าเต็มๆ,1
คนใต้นิยมไอ้เหี้ยตู่มาก ไม่ว่ามันจะเหี้ยอย่างไรก็ตาม ที่พลังประชารัฐ ได้ สส ภาคใต้ ตั้งหลายคน ขัดเจนเลย คนใต้มันเป็นคนสันดานอย่างไร คนใต้ฉลาดสู้คนอีสานกับเหนือไม่ได้จริง ๆ ถ้าไม่มีทรัพยากร ธรรมชาติ มึงนี่ คนโง่ดี ๆ นี่เอง,1
เห่าเหมือนไอ้เหี้ยตู่นิ,1
อยากให้มีคนสืบให้ลึกนะ ว่าพวกเหี้ยนี่มันมีส่วนเกี่ยวข้องใดๆกับการชเลียเหี้ยตู่ หรือพปชร.ไหม เพราะคนแบบเดียวกันนี้ เราพบมาแล้ว2 คือไอ้สี และสนธิญา ซึ่งสมปองและไพรวัลย์ก็เคยโดนคนเหล่านั้นเล่นงานมาแล้ว,1
อีตู่เหี้ยแล้วนะ พวกที่เันหลังมันก็เหี้ยพอกัน บอกหมา สกปรกทั้งการกระทำและความคิดเลยเลย เมื่อไหร่จะไปสักไอ้พวกเี้ย,1
ยกเลิกพรก.ฉุกเฉินยุบศบค.บาปบุนก็อีป้อมเด้อ เหลือไรให้อีตู่เอาซีนบ้างอะ อ๋อ เหลือลาออกยุบสภา ไอ้เหี้ย,1
ทุกวันนี้ดาราคลิปหลุดเรื่องผ่านไปยี่สิบกว่าปีเค้ายังหนีไปใช้ชีวิตเงียบๆไม่ออกสื่ออีกเลยก็คิดดูว่าสภาพจิตใจเค้าแย่แค่ไหน แล้วกับเด็กอายุ 17 มันร้ายแรงมากนะทำไมคนเป็นครูไม่ปกป้องน้องไม่คิดจะเรียกร้องความยุติธรรมให้น้องวะ แล้วไอ้เด็กเหี้ยพวกนั้นน่ะถ้าไม่เป็นข่าวก็ลอยนวลไปงี้,1
ขยะอยู่หน้าบ้านแก้ปัญหาด้วยการเขี่ยให้พ้นบ้านแต่ขยะจะไปอยู่บ้านใครช่างหัวมัน นี่คือวิธีแก้ปัญหาของอาชีพที่สร้างคนหรอแม่งเฮงซวยสัดๆ,1
เตรียบรับความบรรเทิงเต็มรูปแบบได้เลยไอ้เหี้ยตู่,1
ไอ้ควายทั้งเหี้ยตู่ทั้งอีโฆษกหีหมา,1
เหมือนเมื่อวานโดนอีส้มตัวนึงโควทไปหาว่าชั้นเป็น io อีกแล้ว แต่หาไม่เจอว่าอีไหน กูขอบอกพวกมึงทีเดียวเลยแล้วกัน ว่ากูมีงานมีการทำจ้าอีควาย ถึงจะเป็นเจ้าของกิจการที่ไม่ได้รวยอะไรมากในยุคที่ไอ้เหี้ยตู่บริหารประเทศ แต่กูก็ไม่ได้หาแดกด้วยการแบมือแปะเลยบัญชีแบบพวกที่มึงเชิดชูอ่ะนะ,1
ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร ถ่มน้ำลายรดฟ้าเป็นเรื่อง​ปกติ​ ศักดิ์​ศรี​นายพล​กองทัพ​บก​ไทย​ใจ​หี​มด​หน้า​ตัวเมีย​มันมีซะที่ไหน cr.เจ้าของ​ภาพ​  #ประยุทธ์ออกไป #รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน #เหมืองทองอัครา​ ลูกผู้ชาย​ชาติ​ทหารไม่มีจริงที่กูเห็น​หน้าตัวเมีย​ทุกคน.ฆ​วย,1
ไอ้ควายทั้งเหี้ยตู่ทั้งอีโฆษกหีหมา,1
ใช่ครับ เกลียดมันมาก ไอ้เหี้ยตู่ และพรรคพวก,1
ถ้าเทียบการทำงานการวางแผน ระบบระเบียบต่างๆในยุคลุงตู่เห็นทิศทางชัดเจนกว่า ดูได้จากยุทธศาสตร์ชาติก็ได้ ส่วนไอ้เหี้ยแม้วสะเปะสะปะ ไร้ระเบียบแบบแผน  ไร้ทิศทางแนวทางการพัฒนาประเทศเก่งแค่ pr และการทำงานที่ฉายฉวย และแค่มันรวยเท่านั้นแหล่ะ มีอย่างเดียวที่มันเก่งกว่าคือโกงเก่งกว่า,1
คนจนเพิ่มขึ้นในพริบตาจร้าไอ้เหี้ยตู่,1
รับไม่ได้ว่ะเด็กถูกข่มขืนต่อหน้าคนสามสิบคนคือทำไมมันระยำกันได้ขนาดนี้,1
คือหลังจากนี้น้องจะใช้ชีวิตยังไงสภาพจิตใจพังไม่เหลือเลยอะ มันควรโดนทั้งแพ่งทั้งอาญาแค่ติดคุกไม่พอหรอกมึงต้องชดใช้ด้วยทรัพย์สินทั้งหมดที่มึงมีนั่นแหละ ส่วนครูบำเน็จบำนาญมึงไม่ต้องเอาแล้วควรไล่มันออกจากราชการด้วย,1
ไอ้เหี้ยโกรธว่ะพวกมึงต้องเข้าคุกทุกตัวตั้งแต่ครูลงมาเลยไอ้พวกสัตว์ชั้นต่ำ สารเลวเอ้ย,1
คือแม่กูพยายามจะให้กูสมัครคนละครึ่งให้ได้ไม่ว่ารอบไหนๆก็จะบอกให้กูสมัครแต่นี้ไม่ได้อยากได้ไงกูไม่ได้อยากได้เงินไอ้เหี้ยตู่แล้วเป็นไรกับเงินคนละครึ่งนักหนากูบอกแม่สมัครแล้วเหมือนจะได้ง่ายๆอะทำรอบไหนก็บอกว่าสิทธิเต็มมันเสียเวลาชีวิตกูกูบอกแม่ไม่ต้องมาบังคับกลายเป็นว่าแม่โกรธกู?,1
อยู่ๆก็เดินมาชี้หน้าด่าเราว่าโง่แล้วทำหน้าภูมิใจซึ่งโดยปรกติมันไม่มีใครทำหรอกเพราะต้องรักษามารยาท แต่พอรู้ว่าเราเป็นเสื้อแดงก็ทำได้เลยโยนมารยาททิ้งได้ ไม่ต้องให้เกียรติไม่ต้องเกรงใจไม่ต้องรู้สึกผิด  แต่เป็นสิ่งที่น่าภาคภูมิใจได้ด่าอีพวกวรรณะต่ำกว่าขี้เล็บหมา,1
ทำงานวอยส์โดนบางคนออกมาด่าเรื่องทำหน้าที่สื่อพี่แขกก็โอเคกุไม่เป็นสื่อ แล้วก็ไปหาขุดจะให้เค้าเป็นสื่อให้ได้ มาเรื่องโฆษกก็พากันมาสมน้ำหน้าว่าอยากเป็นโฆษกจนตัวสั่นแต่พรรคไม่เลือก และก็เหมือนเดิมค่ะจะให้พี่แขกกุเป็นโฆษกอีก วังน้ำวนเว่อร์,1
วันตัดสินไอ้เหี้ยตู่ จะมีจัดม็อบไปให้กำลังใจ หรือกดดันหน้าศาลรึเปล่า? ให้ไปคิดดู,1
ไอ้เหี้ยตู่อีกแล้ว,1
ไอ้เหี้ยตู่พ่อมึงอยู่มา 8 ปีก็ทำส้นตีนอะไรไม่ได้ ไม่เห็นมันจะลาออกเลย,1
คนนี้เขาลงท้ายได้แค่ สลิ่มเฟสสอง อีชาติหมา อีเหี้ย ได้แค่นี้แหละครับ ชั้นเชิงมีแค่นี้ ลากไปเปิดประเด็นใหม่ไม่ตอบประเด็นเก่า ปล. พ่อแม้วไม่ได้กลับบ้านหรอก พ่อโอเขารักไอ้ตู่จะตาย,1
ผมรับผิดชอบเอง อยู่ไหน 1 2 3 4 5 ไอ้เหี้ยตู่ๆๆๆๆ,1
ใกล้วันเลือกตั้งแล้ว ไอ้เหี้ยตู่มันยังมีสิทธิ์ได้เป็นแคนดิเดทอยู่ไหม พรรคนรกไหนจะเอามัน #เลือกตั้ง66,1
ไม่สลิ่มตรงไหนเอาปากกามาวง สันดานล่าแม่มดแก้ไม่หาย,1
ไอ้เหี้ยตู่,1
เป็นค่ะ แต่รู้สึกเหนื่อยใจกับประเทศค่ะ เปิดทีวีเจอหน้าไอตู่ไอเทพเทือกทีไรถึงกับต้องตะโกนออกมาดังๆคนเดียวว่า ไอ้เหี้ย ไปตายซะ,1
คนตจว.โดนเสือกเรื่องการใช้ชีวิตตลอดเวลาเลยทำไมวะ เป็นใครอะมาคาดคะเนว่าเค้าอยากได้แบบนั้นแบบนี้เคยถามเขายัง,1
ใช่เหรอไอ้เหี้ย คดีนี้ตัวเหี้ยคือไอ้ตู่ตอนเป็คสช.ไม่เกี่ยวกับประเทศ แล้วมึงมาเอาภาษีกูไปสู้คดีนี้ได้ไงว่ะไอ้เหี้ย,1
ถ้าไอ้เหี้ยนี้รอดได้ ไอ้ตู่ก็รอด โลกแตกได้แล้วอิสัส รออะไรหล่ะ,1
แล้วไง มีปัญหาอะไรเหรอ ก็ในเมื่อลุงตู่เขาทำเพราะเป็นห่วงชีวิตคนไทยที่อยู่รอบๆเหมือง ซึ่งมีปัญหาเจ็บป่วยและคุณภาพชีวิต มีแต่ไอ้พวกเหี้ยๆไม่ห่วงชีวิตคนไทย กลับไปออกตัวแทนไอ้พวกฝรั่งขุดทอง ถุยยย,1
ลองไอ้เมือกรอด  ไอ้เหี้ยตู่คงรอดตามกันไป    ปท.นี้ความยุติธรรมมันส้นตีนจริงๆ,1
ยังไม่ได้เพิ่มข้อมูล #รัฐประหาร ปี57 โดยไอ้เหี้ยตู่ #ประยุทธ์ #19กันยาครบรอบรัฐประหาร49,1
20/9​/2565​ รอฟังผลคดี โรงพักร้าง ผลงาน ไอ้​เหี้ย​เทพ​เทือก 30/9​/2565​ รอฟังผลคดี​ 8ปี ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร ที่สำคัญ​คือศาลจะยุติ​ธรรม​หรือไม่ยุติธรรม​ก็คราวนี้​แหละ​ครับ cr.เมือง​ไทย​ใน​กะลา​ #ศาล​ฎีกา​ #ศาลรัฐธรรมนูญ,1
เวลาสลิ่มโดนตีหรือไอ้เหี้ยตู่ทำระยำอะไรซักอย่างมันจะเอาคาถาจำนำข้าวมาสู้ มาเจอ 112 ในทวิตนี้เหมือนเห็นภาพสลิ่มซ้อนเข้ามาไม่รู้จะเอาอะไรมาสู้กูท่องคาถา 112 ก่อนเลย แต่ผ่านมานานแล้วกูว่าคาถานี้ไม่ขลังแล้วว่ะน่าจะมีแต่พวกเหี้ยๆที่เชื่อ ว่ามั้ยอีอรุณ...อ่าวววตายห่าไปละหรออืมๆเคๆ,1
เดี๋ยวนี้คนเริ่มรู้มากขึ้นนะว่า 7ปีของอีตู่ มันทำไรลงไปแล้วบ้าง ไอ้พวกวลี 7ปี ไม่เห็นมีผลงานเหี้ยไรเบย ไม่ได้ทำไรเลยเรื่มลดลงและมีเพจต่างๆที่นำเสนอความคืบหน้าในโครงการต่างๆเพิ่มขึ้นมากเลย ดีจัง ชอบแบบนี้,1
เล่า​นิทาน​ 8ปี​ ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร​ และ​พรรคพวก​ ep.2​   cr.ilaw​ #ประยุทธ์ออกไป #รัฐบาล​ส้นตี​นค​นเชีย​ร์ก็​ส้นตีน,1
ล่านิทาน​ 8ปี​ ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร​ และ​พรรคพวก​ ep.1 cr.ilaw​ #ประยุทธ์ออกไป #รัฐบาล​ส้นตี​นค​นเชีย​ร์ก็​ส้นตีน,1
กูคนเเหละไม่เอาไอ้เหี้ยตู่เเละทหาร,1
ยุคยิ่งลักษณ์ฟรีค่า ft ให้ sme.ส่วนยุค ไอ้เหี้ยตู่เรียกเก็บเพิ่ม 200% แล้วมึงจะไม่ให้คนจนกันหมดประเทศได้ยังไง,1
