text,class,text_clean
แค่โดนแพรรี่ด่าอีทนายกับนายชาตรีก็ไม่รู้จะเอาหน้าไปไว้ไหนแล้ว อันนี้ตอกตะปูฝาโลงไปเลย,1,แค่ โดนแพรรี่ด่า อี ท นาย กับ นาย ชาตรี ก็ ไม่ รู้ จะ เอา หน้า ไป ไว้ ไหน แล้ว   อัน นี้ ตอกตะปูฝาโลง ไป เลย
ขำที่ทนายฮีบอก พระด่าเป็นความผิดส่วนตัวให้ไปฟ้องเอง เขาไม่ได้ด่าผม เอ้า แล้วแพรรี่มันไปด่าไรมึงวะ งงว่ะ,1,ขำ ที่ ท นาย ฮี บอก   พระด่า เป็น ความ ผิด ส่วน ตัว ให้ไป ฟ้อง เอง   เขา ไม่ ได้ ด่าผม   เอ้า   แล้ว แพรรี่ มัน ไป ด่า ไร มึง วะ   งงว่ะ
แพรรี่ เมื่อวานใน  โหนกระแส ก็เห็นกันไปแล้วว่าเป็นยังไง ที่ฝั่งนั้นมาด่าแพรรี่ต่างๆ ใช้สิทธิ์ในกฎหมายข้อไหนมาด่ากูก่อน แล้วนี่ก็เช่นกัน ที่เอาสิทธิ์อะไรไปด่าเค้าว่า ขี้ คิดว่า แพรรี่ ก็น่าจะไม่ยอมเหมือนกันที่มาถูกด่าแบบนี้ อยากให้แพรรี่ ฟาดอีกสักแมทซ์,1,แพรรี่   เมื่อวาน ใน    โหนกระแส   ก็ เห็น กัน ไป แล้ว ว่า เป็น ยังไง   ที่ ฝั่ง นั้น มา ด่าแพรรี่ ต่างๆ   ใช้ สิทธิ์ ใน กฎห มา ยข้อ ไหน มา ด่า กู ก่อน   แล้ว นี่ ก็ เช่นกัน   ที่ เอา สิทธิ์ อะไร ไป ด่าเค้า ว่า   ขี้   คิดว่า   แพรรี่   ก็ น่าจะ ไม่ ยอม เหมือน กัน ที่ มา ถูก ด่า แบบ นี้   อยาก ให้ แพรรี่   ฟาด อีก สักแมทซ์
กุดูแพรรี่ด่าทนายในโหนกระแสแบบมันส์มากสนุกเว่อร์555555555555555555,1,กุดูแพรรี่ด่าท นาย ใน โหนกระแส แบบ มันส์ มาก สนุกเว่อร์ 555555555555555555
กฏหมายข้อไหน ถึงด่าพระ อีดอก กุปวดหัวเลย ก็เค้าพูดว่ามันเป็นสิทธิที่เค้าจะพูด มันถามว่าสิทธิข้อไหน ก็สิทธิในการพูดไงวะ 55555 ก็พูดไป โดนฟ้อง แพรรี่ก็รับเองไง,1,กฏห มา ยข้อ ไหน   ถึง ด่าพระ   อีดอก   กุปวดหัว เลย   ก็ เค้า พูด ว่า มัน เป็น สิทธิ ที่ เค้า จะ พูด   มัน ถาม ว่า สิทธิข้อ ไหน   ก็ สิทธิ ใน การ พูด ไง วะ   55555   ก็ พูด ไป   โดนฟ้อง   แพรรี่ ก็ รับ เอง ไง
ดูโหนกระแส แพรรี่ ละแบบ ถ้ากุโดนพระด่าหมิ่นประมาท กุไม่มีสิทธิ์ด่ากลับแค่เพราะมันห่มเหลืองเหรอ ตลก  ทีมแพรรี่,1,ดูโหนกระแส   แพรรี่   ละ แบบ   ถ้า กุโดนพระด่าหมิ่นประ มา ท   กุ ไม่ มี สิทธิ์ด่า กลับ แค่ เพราะ มัน ห่ม เหลือ งเหรอ   ตลก    ที มแพรรี่
อ่านโพสทนายชื่อดังสองคนที่โพสเกี่ยวกับทนายยมราชที่ฟ้องแพรรี่ แค่ตัวบทกฎหมายที่มันเอามาอ้างก็ตีความผิดๆละ พ้อยของมาตรานั้นคือคณะสงฆ์หมายความถึงพระ2คนขึ้นไป แพรรี่ด่าอีพระนั่นคนเดียว ดีไม่ดีอีทนายจะโดนข้อหาแจ้งความเท็จด้วย มันเป็นทนายได้ไงวะ,1,อ่านโพสท นาย ชื่อ ดัง สองคน ที่ โพส เกี่ยวกับ ท นาย ยมราช ที่ ฟ้องแพรรี่   แค่ ตัวบทกฎห มา ย ที่ มัน เอา มา อ้าง ก็ ตี ความ ผิดๆ ละ   พ้อย ของ มา ตรา นั้น คือ คณะสงฆ์ห มา ย ความ ถึง พระ 2 คน ขึ้น ไป   แพรรี่ด่า อี พระ นั่น คน เดียว   ดี ไม่ ดี อี ท นาย จะ โดนข้อหาแจ้ง ความ เท็จ ด้วย   มัน เป็น ท นาย ได้ ไง วะ
ดีไม่ดีอีพวกที่มาไฟท์กับแพรรี่ใน   นี้ก็โล้นห่มเหลืองแหละ เจ้าชายสิตทัตถะไม่พอใจกะสิ่งนี้ค่ะ ตรัสรู้เพื่อให้ละกิเลส และใช้ชีวิตให้เป็นสุข อยู่กับความเป็นไปของสังขาร ไม่ใช่มานั่งแซะชาวบ้านเขา อยากแซะอยากด่าเขา ละกิเลสไม่ได้ก็ศึกมาทำมาหาแดกค่ะ อีควาย  โหนกระแส,1,ดี ไม่ ดี อี พวกที่ มา ไฟท์ กับ แพรรี่ ใน     นี้ ก็ โล้นห่ม เหลือ ง แหละ   เจ้าชายสิตทัตถะ ไม่ พอ ใจกะ สิ่งนี้ ค่ะ   ตรัสรู้ เพื่อให้ ละ กิเลส   และ ใช้ ชีวิต ให้ เป็น สุข   อยู่ กับ ความ เป็น ไป ของ สังขาร   ไม่ใช่ มา นั่งแซะ ชาว บ้าน เขา   อยาก แซะ อยาก ด่า เขา   ละ กิเลส ไม่ ได้ ก็ ศึก มา ทำ มา หาแดก ค่ะ   อี ควาย    โหนกระแส
แพรรี่สอนให้รู้ว่าเวลาโดนด่า ด่ามันกลับค่ะ มีสิทธิ์อะไรมาด่ากูคะ กูอยู่ของกูเฉยๆ ไม่รู้จักกันมาด่ากู เจอกูด่ากลับร้องเหมือนหมา ตั้งแต่ลนจ  ละเป็นเหี้ยอะไร รู้ว่าอยากดังอยากมีงานมีชื่อเสียงตัวคนเดียวไม่มีใคร จริงๆเป็นคนเก่งมีความรู้แต่ภาพลักษณ์กลายเป็นอีแก่ปากดีไปทั่ว  แพรรี่,1,แพรรี่สอน ให้ รู้ ว่า เวลาโดนด่า   ด่า มัน กลับ ค่ะ   มี สิทธิ์ อะไร มา ด่า กู คะ   กู อยู่ ของ กู เฉยๆ   ไม่ รู้จัก กัน มา ด่า กู   เจอ กู ด่า กลับ ร้องเหมือนห มา   ตั้งแต่ ลนจ    ละ เป็น เหี้ย อะไร   รู้ ว่า อยาก ดัง อยาก มี งาน มี ชื่อ เสีย งตัวคน เดียว ไม่ มี ใคร   จริงๆ เป็น คนเก่ง มี ความ รู้ แต่ ภาพลักษณ์กลาย เป็น อี แก่ ปากดี ไป ทั่ว    แพรรี่
ถ้ากูเป็นแม่แพรรี่กูก็ด่าค่ะกูอยู่กูเฉยๆมาเรียกกูจิกหัวว่าอีและหาว่ากูเป็นลูกกำพร้าแบบนี้กูก็ด่ากลับค่ะ ทนายก็เก่งเหลือเกินเรื่องก็ไม่ได้เกี่ยวกะตัวเองเลยก็ใส่เกือกไปแจ้งความเขาอ่ะเนอะสรุปง่ายๆ ทนายอยากดัง  แพรรี่ไพรวัลย์  แพรรี่,1,ถ้า กู เป็น แม่แพรรี่ กู ก็ ด่า ค่ะ กู อยู่ กู เฉยๆ มา เรียก กู จิกหัว ว่า อี และ หา ว่า กู เป็น ลูกกำพร้า แบบ นี้ กู ก็ ด่า กลับ ค่ะ   ท นาย ก็ เก่ง เหลือเกิน เรื่อง ก็ ไม่ ได้ เกี่ยวกะตัว เอง เลย ก็ ใส่เกือก ไป แจ้ง ความ เขา อ่ะเนอะสรุป ง่ายๆ   ท นาย อยาก ดัง    แพรรี่ไพรวัลย์    แพรรี่
คิดจะด่าแพรรี่ เกรงใจอเวจีปอยเปตนิดนึง  แสนล้านภพแสนล้านชาตินะมึง,1,คิด จะ ด่าแพรรี่   เกรงใจอเวจีปอยเปต นิด นึง    แสนล้านภพแสนล้านชาติ นะ มึง
เปิด ตต กูเจอแพรรี่ เวลาด่าที กูชอบมาก,1,เปิด   ตต   กู เจอแพรรี่   เวลาด่า ที   กู ชอบ มาก
ชอบที่แพรรี่จะสื่ออ่ะ กุด่าคนที่เอาผ้าเหลืองมาบังหน้าไง ห่มผ้าเหลืองไม่ใช่ว่าจะเป็นพระทุกคนมะ เค้าด่าอลัชชีในคราบพระ อิดอก เถียงไม่ทันยังจะแถ  แพรรี่,1,ชอบ ที่ แพรรี่ จะ สื่ออ่ะ   กุด่าคน ที่ เอา ผ้า เหลือ ง มา บังหน้า ไง   ห่มผ้า เหลือ ง ไม่ใช่ ว่า จะ เป็น พระ ทุกคน มะ   เค้าด่าอลัชชี ใน ครา บพระ   อิดอก   เถียง ไม่ ทัน ยังจะ แถ    แพรรี่
กุชอบแพรรี่ด่ามาก เครื่องด่าทำงานแร้ว ปากจัดชิบหาย อีทนายขิตคาจอไปค่ะอีดอกเถียงไม่ทัน 555555556555  แพรรี่,1,กุชอบแพรรี่ด่า มาก   เครื่องด่าทำงานแร้ว   ปาก จัด ชิบหาย   อี ท นาย ขิตคาจอ ไป ค่ะ อีดอก เถียง ไม่ ทัน   555555556555    แพรรี่
แล้วแพรรี่ด่ามุง,1,แล้ว แพรรี่ด่ามุง
ชอบที่แพรรี่ด่าแม่ของธรรมราชอ่ะ 555 สาแก่ใจ อีแก่ เสือก เสร่อ และค่อนข้างมั่นใจว่าเป็นสลิ่มแน่นอน อีแก่พวกนี้ต้องโดนแบบนี้ เอาอีกค่ะ ด่าอีก   แพรรี่,1,ชอบ ที่ แพรรี่ด่าแม่ ของ ธรรมราชอ่ะ   555   สา แก่ ใจ   อี แก่   เสือก   เสร่อ   และ ค่อนข้าง มั่นใจ ว่า เป็น สลิ่มแน่นอน   อี แก่ พวกนี้ ต้อง โดน แบบ นี้   เอา อีก ค่ะ   ด่า อีก     แพรรี่
พระด่าแพรรี่ = ความผิดส่วนตัว แพรรี่ตอบโต้กลับ = กลายเป็นส่วนรวมเฉย ตรรกะพังพินาศมากอิเหี้ย   โหนกระแส,1,พระด่าแพรรี่   =   ความ ผิด ส่วน ตัว   แพรรี่ตอบโต้ กลับ   =   กลาย เป็น ส่วน รวม เฉย   ตรรกะพังพินาศ มาก อิเหี้ย     โหนกระแส
แพรรี่ด่ามันมากอิดอก,1,แพรรี่ด่า มัน มาก อิดอก
อ่านคอมเม้นแล้วก็ถอนหายใจ พวกหัวหงอกด่าแพรรี่ฉอดๆ แต่ในเฟสโพสต์ธรรมะประจำวัน 5555555 ตลกชิบหายยพวกมือถือสากปากถือศีล  แพรรี่,1,อ่านคอมเม้น แล้ว ก็ ถอนหายใจ   พวก หัวหงอกด่าแพรรี่ฉอด ๆ   แต่ ใน เฟสโพสต์ธรรมะประ จำ วัน   5555555   ตลกชิบหายย พวก มือ ถือ สากปาก ถือ ศีล    แพรรี่
แล้วอนุโมทนาสาธุละ แล้วเป็นพระเสือกด่าญาติโยมได้ด้วยเร้อะแบบนี้ศิลแตกมั้ย แล้วอีทนายอ่ะเสร่อมาทำไมยุ่งทำไมแค่นั้นเอง คนที่ทำให้เกิดเรื่องอีทนายจ้าาา ไม่ใช่แพรรี่,1,แล้ว อนุโมทนาสาธุ ละ   แล้ว เป็น พระเสือกด่าญาติโยม ได้ ด้วย เร้อะ แบบ นี้ ศิลแตก มั้ย   แล้ว อี ท นาย อ่ะเสร่อ มา ทำไม ยุ่ง ทำไม แค่นั้น เอง   คน ที่ ทำให้ เกิด เรื่อง อี ท นาย จ้า าา   ไม่ใช่ แพรรี่
กูงงกับคนที่ไม่เข้าใจสั้นๆคือคนด่าแพรรี่คือพระที่มีชีวิตอยู่เมืองนอกแล้วมันใช่เรื่องของพระมั้ยที่มาด่ามาแขวะเค้าแล้วเจอเค้าด่ากลับเสือกรับไม่ได้กลายเป็นแพรรี่ด่าพระสงฆ์ทั้งคณะอยากจะบอกกับคนที่เข้าใจแบบนี้ว่าควายจริงๆถ้าคนที่ด่ามึงเป็นพระมึงด่าพระกลับมั้ยหรือมึงจะยกมือไหว้  แพรรี่,1,กู งง กับ คน ที่ ไม่ เข้าใจ สั้นๆ คือ คนด่าแพรรี่ คือ พระ ที่ มี ชีวิต อยู่ เมือง นอก แล้ว มัน ใช่ เรื่อง ของ พระ มั้ย ที่ มา ด่า มา แขวะเค้า แล้ว เจอเค้าด่า กลับ เสือก รับ ไม่ ได้ กลาย เป็น แพรรี่ด่าพระสงฆ์ ทั้ง คณะ อยาก จะ บอก กับ คน ที่ เข้าใจ แบบ นี้ ว่า ควาย จริงๆ ถ้า คน ที่ ด่า มึง เป็น พระ มึง ด่าพระ กลับ มั้ย หรือ มึง จะ ยก มือไหว้    แพรรี่
ทีพระด่าแพรรี่ หล่ะ ก็ไม่ได้อยู่ในไลฟ์เหมือนกันค่ะ ไอ้ทนาย ฟาย,1,ที พระด่าแพรรี่   หล่ะ   ก็ ไม่ ได้ อยู่ ใน ไลฟ์เหมือน กัน ค่ะ   ไอ้ท นาย   ฟาย
แล้วพระแม่งด่าแพรรี่ก่อน กุเป็นแพรรี่กุก็ด่ากลับ มึงเป็นไครมาเรียกจิกหัวกุ,1,แล้ว พระแม่งด่าแพรรี่ ก่อน   กุ เป็น แพรรี่กุ ก็ ด่า กลับ   มึง เป็น ไคร มา เรียก จิกหัวกุ
แล้วแพรรี่ด่ามึงๆกูๆออกสื่อช่องหลักแบบนี้ก็ไม่คิดจะติติงกันหน่อยเหรอ พอๆกันแหละ  โหนกระแส,1,แล้ว แพรรี่ด่า มึง ๆ กู ๆ ออก สื่อช่องหลัก แบบ นี้ ก็ ไม่ คิด จะ ติติง กัน หน่อย เหรอ   พอๆ กัน แหละ    โหนกระแส
เครื่องด่าสาวแพรรี่คือรัวมาก จับใจความที่ทนายพูดไม่ได้เลยเพราะฮีพูดไม่ทันสาวแพรรี่ กุงงมาก 55555555555555555555555555,1,เครื่องด่าสาวแพรรี่ คือ รัว มาก   จับ ใจ ความ ที่ ท นาย พูด ไม่ ได้ เลย เพราะ ฮี พูด ไม่ ทัน สาวแพรรี่   กุงง มาก   55555555555555555555555555
เรื่องของเรื่องคือไปด่าแพรรี่ก่อนด้วยนะ นางก็ขายของอยู่ดี ๆ เนรคุณเอย ลูกกำพร้าเอย อีแพรรี่เอย ทำไมพระไม่สำรวมวาจาล่ะเจ้าคะ   โหนกระแส,1,เรื่อง ของ เรื่อง คือ ไป ด่าแพรรี่ ก่อน ด้วย นะ   นาง ก็ ขาย ของ อยู่ ดี   ๆ   เนร คุณ เอย   ลูกกำพร้าเอย   อี แพรรี่เอย   ทำไม พระ ไม่ สำ รวม วาจาล่ะเจ้า คะ     โหนกระแส
วันนี้ดูโหนกระแสแบบผ่านตา คือเห็นคุณแพรรี่เลยลองดูว่ามีข่าวอะไร อิดอกคือมันมาก ด่าไฟแลป,1,วันนี้ ดูโหนกระแส แบบ ผ่าน ตา   คือ เห็น คุณ แพรรี่ เลย ลองดู ว่า มี ข่าว อะไร   อิดอก คือ มัน มาก   ด่าไฟแลป
นางไม่ว่าใคร ถ้าพระเจ้าอาวาสวัดไทยจากเมืองนอกไม่มาว่านางก่อนนะคะ คนนั้นอยู่ในคราบพระแท้ๆยังตั้งกล้องด่านางว่าอีแพรรี่ เรียกมันนั้นนี้,1,นาง ไม่ว่า ใคร   ถ้า พระเจ้าอาวาสวัดไทย จาก เมือง นอก ไม่ มา ว่า นาง ก่อน นะ คะ   คน นั้น อยู่ ใน ครา บพระ แท้ ๆ ยัง ตั้ง กล้องด่า นาง ว่า อี แพรรี่   เรียก มัน นั้น นี้
ในฐานะชาวพุทธ  ทนายคนนี้แมร่งทำให้กุรู้สึกว่าไม่ต้องมีพระเลยก็ได้นะปท นี้ พระเหี้ยก็ด่าว่าไม่ได้ helloooooooooo ปด คือเสือกไปแขวะเค้าก่อนด้วย  โหนกระแส  ใดๆคือแพรรี่สรุปได้ดี,1,ใน ฐา นะ ชาว พุทธ    ท นาย คน นี้ แมร่ง ทำให้ กุรู้สึ กว่า ไม่ ต้อง มี พระ เลย ก็ได้ นะ ปท   นี้   พระเหี้ย ก็ ด่า ว่า ไม่ ได้   helloooooooooo   ปด   คือ เสือก ไป แขวะเค้า ก่อน ด้วย    โหนกระแส    ใดๆ คือ แพรรี่สรุป ได้ ดี
ไอ้เหี้ยตู่ไอ้หน้าส้นตีน,1,ไอ้เหี้ยตู่ไอ้หน้าส้นตีน
รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน  ผนงรจตกม  นะจ๊ะพ่องมึงสิ  ไอ้เหี้ยตู่  นายกควาย  ปล่อยเพื่อนเรา,1,รัฐบาลส้นตีนคนเชียร์ ก็ ส้นตีน    ผนงรจตกม    นะ จ๊ะ พ่อง มึง สิ    ไอ้เหี้ยตู่    นาย กควาย    ปล่อย เพื่อ น เรา
น่าจะตีหม้อ มากกว่านะไอ้เหี้ยตู่,1,น่าจะ ตีหม้อ   มากกว่า นะ ไอ้เหี้ยตู่
เอาไปเล่นกับเพื่อนมึงโน่นศิลปินกูไม่ได้สนิทกับพวกมึง จะทำอะไรมีมารยาทนิดนึงกาละเทศะต้องมีเกิดเป็นคนไม่ใด้เกิดเป็นหมา อย่าเที่ยวหาไปเลียหัวชาวบ้านเรื่อยเปื่อยมันเรื้อนไม่น่ารัก,1,เอา ไป เล่น กับ เพื่อ น มึง โน่นศิลปิน กู ไม่ ได้ สนิท กับ พวกมึง   จะ ทำ อะไร มี มา รยาท นิด นึงกา ละ เทศะ ต้อง มี เกิด เป็น คน ไม่ ใด้ เกิด เป็น ห มา   อย่าเที่ยวหา ไป เลียหัว ชาว บ้าน เรื่อย เปื่อย มัน เรื้อน ไม่ น่า รัก
"พรรค​ร่วมฝ่ายค้าน​ยื่น​ป​ปช (ปกป้อง​คนชั่ว)​ สอบ ไอ้​เหี้ย​ตู่​ เผด็จการ​อัปรีย์​จัญไร และ​พวก​ ใช้งบกลางไม่ตรงวัตถุ​ประสงค์​-ปล่อย​ปละละเลย​ไม่ติดตามทุจริต​จัดซื้อ​ถุงมือ​ยาง​2,000ล้าน cr สำ​นักข่าว​ราษฎร​   พรรคก้าวไกล  พรรคเพื่อไทย  พรรคเสรีรวมไทย",1,"พรรค​ ร่วม ฝ่าย ค้าน​ยื่น​ป​ปช   (ปกป้อง​คนชั่ว)​   สอบ   ไอ้​เหี้ย​ตู่​   เผด็จ การ ​อัปรีย์​จัญ ไร   และ ​ พวก ​   ใช้ งบกลาง ไม่ ตรง วัตถุ​ประสงค์​ - ปล่อย​ป ละ ละ เลย ​ ไม่ ติด ตาม ทุจริต​ จัด ซื้อ​ถุงมือ​ยาง​ 2,000 ล้าน   cr   สำ​ นัก ข่าว​ราษฎร​     พรรคก้าว ไกล    พรรค เพื่อ ไทย    พรรคเสรี รวม ไทย"
แต่อีพวกดอกทองที่มาลงกับศิลปินเสร่อกว่าค่ะ,1,แต่ อี พวก ดอกทอง ที่ มา ลง กับ ศิลปินเสร่อ กว่า ค่ะ
รู้แต่แกล้งโง่เพราะอยากแซะรึเปล่าโถอีดอกทอง ฝากแปลไปให้พวกมันอ่านด้วย,1,รู้ แต่ แก ล้งโง่ เพราะ อยาก แซะ รึ เปล่าโถ อีดอก ทอง   ฝากแปล ไป ให้ พวกมัน อ่าน ด้วย
สงสารซวยเลย วิธีเผด็จการ ยัดเยียดข้อหาใช้กำลังสร้างวาทกรรมโกหกหลอกลวงตอแหล เหมือนไอ้เหี้ยตู่กับพวก หรือไอ้น่องลายกับสมุนมัน แล้วก็จะมีประชาชนสมองขี้เปียกอย่างสลิ่มคอยออกจากรูมาปกป้อง จุดจบคงไม่ต่างจากรัสเซียครับ,1,สงสารซวย เลย   วิธีเผด็จ การ   ยัดเยียดข้อหา ใช้ กำลัง สร้างวาทกรรมโกหกหลอกลวงตอแหล   เหมือนไอ้เหี้ยตู่ กับ พวก   หรือ ไอ้น่องลาย กับ สมุน มัน   แล้ว ก็จะ มี ประชาชนส มอง ขี้เปียก อย่าง สลิ่มคอย ออก จาก รู มา ปกป้อง   จุดจบคง ไม่ ต่าง จาก รัสเซีย ครับ
แล้วกูกำลังจะไปต่อคิวเป็นเมียพี่ตะวันตามคุณหมีเนี่ยยยยยยยย  โอ๊ยยยยยยยยยยย   readawriteล่ม,1,แล้ว กู กำลังจะ ไป ต่อ คิว เป็น เมียพี่ตะ วัน ตาม คุณ ห มี เนี่ย ยยยยยยย    โอ๊ยยยยยยยยยยย     readawrite ล่ม
กลับมาเดี๋ยวนี้นะ อีปลาทองงงงงง  readawriteล่ม,1,กลับ มา เดี๋ยว นี้ นะ   อี ปลาทองงงงงง    readawrite ล่ม
