,Tweet
21,"ปวดหัวเวลาเหนเคสล้างหนี้กยศ. โดยไม่รู้อะไรผ่านตา เพลียมาก

//ไหนๆก้ไหนๆ ล้างๆไปเถอะ เด่กรุ่นหลังก้โทดพี่ๆสามกีบเถอะ ไม่มีกยศ.ให้กุ้แล้ว บัย 

(แทนที่มุงจะเอาเรื่องเรียนฟรีก่อน ผิดตั้งแต่ดึงกยศ.มาพุดก่อนแล้วจ้า )"
22,"@LeeTempest เรื่องนี้ผมว่าคนที่ขัดล้างหนี้กยศคงด่าเหมือนกัน เพราะหลายคนที่ขัดล้างหนี้กยศไม่ใช่สลิ่ม แต่แค่ยังยึดติดอยู่กับคำว่า เป็นหนี้ต้องใช้หนี้
23,"สภาฯ ได้ผ่านแก้กฎหมาย กยศ. ไม่คิดดอกเบี้ยและเบี้ยปรับ และทำ กยศ. จะสูญเสียรายได้ส่วนนี้ไปกว่า 6,000 ล้านบาทในแต่ละปี

การล้างหนี้ กยศ. จะช่วยลดความเหลื่อมล้ำทางการศึกษาจริงมั้ย หรือยิ่งตอกย้ำการขาดวินัยทางการเงิน พี่ทุยสรุปมาให้แล้ว ไปฟังกัน

#MoneyBuffalo
"
24,ล้างหนี้ กยศ เป็นเรื่องปกติ 
25,ล้างหนี้ กยศ ยังมีเงินหมุนกลับเข้ามาในระบบคนมีเงินใช้จ่ายกินใช้ หมุนเวียนเศรษฐกิจ อนุมัตงบกลางนี่เป็นประโยชน์ยังไงยังมองไม่เห็น 
26,เงิน 1300 ล้านล้างหนี้กยศแถมคืนค่าเทอมได้หมดด้วยซ้ำมั้ง
27,เออไม่เดือดเหมือนตอนล้างหนี้กยศเลยหวะ55555
28,ถ้าแย้งงบกลาโหมด้วยเอเนอจี้เดียวกับล้างหนี้กยศ.ป่านนี้คงถูกปัดตกไปแระ🫢
29,เรียกร้องล้างหนี้กยศโดนทัวร์ลงแทบตาย ครม.อนุมัติงบกลางให้กลาโหม กริบ
30,อิดอก เงินล้างหนี้กยศดูกรือจอกไปเรย มึงมาดูงบกลาโหงนี่ค่ะทวิตเตี้ยน
31,อันนี้ภาระของจริง นักทวงหนี้ หวงเงินสวัสดิการล้างหนี้ กยศ ฝากมาหวงมาตามคนนี้ด้วย 
32,"วันนี้ 'CanFree' หรือ 'แนวร่วมเรียนฟรีฯ' เปิดตัวแล้ว! CanFree คือประชาชนที่ร่วมมือกันผลักดัน

1. #รัฐสวัสดิการ การศึกษาฟรีมีเงินเดือนถึงอุดมศึกษา 
2. ล้างหนี้ กยศ. สำหรับผู้จบการศึกษาแล้ว 2 ปี

ติดตาม: 

#เรียนฟรีถ้วนหน้า #เรียนฟรีมีเงินเดือน #ล้างหนี้กยศ "
33,มีใครวิจัยเรื่องคนละครึ่งม้าย พ่อค้าแม่ขายที่เลี่ยงภาษีนี่รายได้เท่าไหร่ รายจ่าย กำไร รัฐขาดภาษีไปเท่าไหร่ รายได้ถึงเกณฑ์จ่ายแล้วเบี้ยวให้ชนชั้นกลางแบก หรือรายได้ไม่ถึงแล้วไม่ทำบัญชี บลาๆ #หัวข้อดีเบต ต่อจากล้างหนี้กยศ.
34,"ครป.จัดวงถก ปชช. เรื่อง ‘ล้างหนี้ กยศ. ยุติธรรมหรือเอาเปรียบสังคม?’ ‘ษัษฐรัมย์’ ชวนปรับมุมมองการศึกษาเป็นเรื่อง 'สิทธิขั้นพื้นฐาน' แจงล้างหนี้-เรียนฟรีเป็นไปได้  เผยความรู้สึกไม่เสียดายหากมีการล้างหนี้ มองผลลัพธ์คนรุ่นใหม่ได้เรียน มีงานทำ 

"
35,สต.ไม่เห็นด้วยกับล้างหนี้กยศ.เพราะมันเป็นการกู้ยืมยังไงก็ต้องคืน ถึงจะเรียนจบมาแล้วหางานทำไม่ได้จริงๆทางกยศ.ช่วยหางานให้คุณได้นะ ละถ้าจะให้เรียนฟรีจริงๆก็ให้เด็กรุ่นหลังเรียนฟรีแบบจริงๆไปเลยไม่ต้องกู้ยืมใดๆ คนที่กู้ไปก็คืนปกติแล้วก็หัดยินดีกับคนอื่นเขาบ้างที่ระบบมันดีขึ้น
36,"KEY MESSAGES: ถอดบทเรียนสหรัฐอเมริกาล้างหนี้ กยศ. 

อ่านต่อ 

#TheStandardNews "
37,"ล้างหนี้ กยศ = รปห หนี้
ใครรักประชาธิปไตย ไม่ควรสนับสนุน
การล้างหนี้ กยศ "
38,"ครป.จัดวงถกเรื่อง ‘ล้างหนี้ กยศ. ยุติธรรมหรือเอาเปรียบสังคม?’ ‘ษัษฐรัมย์’ ชวนปรับมุมมองการศึกษาเป็นเรื่องสิทธิ แจงล้างหนี้-เรียนฟรีเป็นไปได้ พร้อมคุยกับอดีตลูกหนี้ถึงปัญหาการกู้ยืม เผยไม่เสียดายหากมีการล้างหนี้ มองผลลัพธ์คนรุ่นใหม่ได้เรียน มีงานทำ

อ่าน  "
39,"@pejunnn @dog_overload หนี้กยศมีทั้งหมด 3.3 แสนล้านบาท งบประมาณลดความเหลื่อมล้ำมี 7.59 ล้านบาทต่อปี แผนการล้างหนี้คือ ให้รัฐบาลแบ่งจ่ายหนี้กยศ 10 ปี
เรื่องmoral hazardสังคมต้องไปทำความเข้าใจด้วยว่าทุกนโยบายมีคนที่ได้และเสียประโยชน์เสมอ ไม่สามารถตามใจทุกคนได้ แต่ควรมุ่งไปในทางที่เป็นประโยชน์สูงสุด"
40,ครป. จัดวงถก '#ล้างหนี้ กยศ. ยุติธรรม หรือแค่เอาเปรียบสังคม?' 
41,ไม่ได้ทำงานได้เงินเดือนเยอะหรืออะไร มีช่วงที่ตกงานเป็นปีก็มี ลำบากหาเงินมาจ้ายกยศ. ดราม่าร้องไห้ ตัดพ้อชะตาตัวเองบ่อย แต่เราก็ยังมองว่าถ้าจะล้างหนี้กยศ.หรือลดหนี้ให้คนรุ่นหลัง มันก็ดีอะ วัยเริ่มทำงานพร้อมแบกหนี้มันโคตรแย่นะ ไม่อยากให้ใครต้องมาเจอแบบนี้เลย
42,ดูหนังเถื่อน x ล้างหนี้กยศ. อ่อกูเข้าใจละ 555 
43,เอาจริงนี่ไม่สนับสนุนล้างหนี้กยศ.นะ ไม่รู้ดิ คือถ้าจะให้เท่าเทียมก็ให้เด็กปีต่อไปไม่ต้องกู้เรียนฟรีเลย ส่วนใครกู้แล้วก็ต้องใช้หนี้ ไม่งั้นเงินมันหมุนลำบากอ่ะ
44,ส่วนตัวคิดว่าถ้า กยศ ไม่มีค่าปรับ ไม่ทีดอกเบี้ย ก็ล้างหนี้ไปเลย ไม่อย่างนั้นก็ต้องหาวิธีจัดเก็บให้มีประสิทธิภาพ เช่น หาวิธีหักจากรายได้ เป็นต้น
45,"@PikaPhu_TH สำหรับผม เงื่อนไขการล้างหนี้คือ คนเรียนรุ่นก่อนต้องได้เรียนฟรีด้วย ถ้าคิดด้วยฐานคิดนี้ 
1. การล้างหนี้ กยศ ต้องล้างเฉพาะส่วนค่าเทอม (ส่วนค่าใช้จ่ายต้องไม่ล้าง) 
2. คนที่จ่ายหนี้ กยศ ไปแล้วก็ต้องได้เงินชดเชยเช่นกัน
3. คนที่ไม่กู้ก็ต้องได้เงินเช่นกัน

แบบนี้ถึงจะแฟร์ตามฐานคิดครับ"
46,@SSirapornkul เดี๋ยวนะคะ เราไม่เคยบอกว่าใครโง่ใครฉลาดเลยค่ะ ถ้าในอนาคตมีการล้างหนี้กยศ. และเรียนอุดมศึกษาฟรีมันไม่ใช่เรื่องใครถูกหลอก แต่มันคือการพัฒนาประเทศ
47,ล้างหนี้ กยศ ที่ตอนนี้มติผ่านคือไม่คิดดอก ไม่เสียค่าปรับ ชำระเมื่อพร้อมปะ ฝ่าย รบ.ยังตีกันเองอยู่เลย
48,@dog_overload คืออธิบายหน่อยได้มั๊ยครับว่าเงื่อนไขการล้างหนี้ของ กยศ.นี่ต้องเข้าเกณฑ์ไหนบ้าง คือตอนนี้ก็ไม่ค่อยเก็ทและไม่ค่อยชอบเลย บางคนจงใจไม่จ่ายจนให้มันเป็นหนี้แล้วค่อยมาขอล้างหนี้งี้อ่ะ
49,"ส่วนตัว ก็ยังไม่เห็นด้วยกับการล้างหนี้ แบบเหลือ 0 เลย ไม่ว่าจะเป็นหนี้อะไรก็ตาม

จะหนี้ กยศ หนี้เกษตร หรือหนี้ ไฟแนนซ์ imf 

เพราะอะไร เพราะแต่ละคนหนี้ไม่เท่ากัน การชำระคืนไม่เหมือนกัน เลยพามาสู่การได้ ผปย. ที่ไม่เท่ากัน ทำให้ไม่แฟร์

ถ้าเปลี่ยนเป็น ลดหนี้ให้ 50% คนจะเห็นด้วยขึ้น "
50,@f_oxzy ทุกวันนี้คนเริ่มแยกแยะสิทธิกับหน้าที่กันไม่ออกแล้ววว ยกตัวอย่างอีล้างหนี้ กยศ อ่ะ
51,ไม่ซื้ออากิวเม้นล้างหนี้กยศ.ทุกกรณีค่ะ  จากใจคนประสบพบเจอคนตอแหลเต็มคณะ อีพวกนี้ยิ้มแล้วค่ะ มีทวิตเตี้ยนอร่อยศีลธรรมมารณรงค์ล้างหนี้ให้ฟรีๆ  เรียนฟรีคือเรียนฟรี ทำให้เกิดขึ้นเป็นรูปธรรมได้จริงเห็นด้วย แต่มัน ≠ ยกหนี้ให้คนกยศ.ตอนนี้ค่ะ มันคนละเรื่อง
52,"@dog_overload ล้างหนี้กยศที่คนกู้มายกระดับชีวิตตัวเอง 
ล้างหนี้ต้มยำกุ้งที่คนบางกลุ่มกู้มาจนประเทศเจ๊ง"
53,แล้วเราไม่ใช่บาดเลือดแค้นอะไร เราเอาเรื่องล้างหนี้กยศ.ไป discuss กับหัวหน้า หัวหน้าบอกมันล้างหนี้ไปเลยก็ดูจะยังไงๆอยู่ แต่ก็เถียงไม่ได้เพราะปี 40 รัฐก็กู้เงินมาอุ้มคนรวยในสมัยนั้น คุณก็จะปฏิเสธล้างหนี้กยศ.ได้ไม่เต็มปาก
54,"ประเทศจะเหลื่อมล้ำเป็นที่ 1 ของโลกก็ไม่แคร์ แต่ถ้าจะล้างหนี้กยศ.ก็จะไม่ยอมนะ เป็นหนี้ก็จะต้องจ่าย เข้าใจมั้ยอิพ่กไม่เสียภาษี !! 

โดยรวมๆจะนัวๆประมาณนี้ค่ะ"
55,ถ้าจะดันนโยบายเรื่องการศึกษาไม่ว่าจะเรียนฟรี หรืออะไรก็ตามที่มันส่งผลประโยชน์อะเห็นด้วยนะ แต่จะมาล้างหนี้ กยศ. จากคนที่เคยกู้ยืมเรียนมา แปลกนะ คุณตัดสินใจกู้แล้วก็ต้องคืน ไม่ใช้จะมาเอาวิธีนี้เพื่อเบี้ยวหนี้ ไม่เห็นแก่ตัวแก่ได้ตรงไหน? คิดง่าย ๆ ยืมเงินก็ต้องคืน แค่นั้น
56,มุแง๊ ช็อปสินค้า duty free ที่สนามบินได้ แต่ห้ามพวกแกเรียกร้องดอกเบี้ยกยศ. 0 % นะ ห้ามเรียกร้องเรียนอุดมศึกษาฟรีเป็นสิทธินะ ห้ามเรียกร้องล้างหนี้กยศ.นะ มุแง๊ๆๆๆๆๆๆ
57,ดึงเรื่องศิลธรรมจรรยาบรรณ คุณรู้ปะ ว่าคนที่เรียกร้องล้างหนี้กยศ.ถูกต่อต้านเพราะผิด ศีลธรรมอะไรนี่ตลอดเลย พอเรียกร้องปลอดดอกเบี้ยก็โดนเรื่อง moral hazard อะไรนี่ ตกลงใครอ้างศีลธรรมกันแน่คะ 
58,การเอาเปรียบคนอื่นแล้วมีคนอื่นมาท้วงไม่ได้แปลว่าคนอื่นอิจฉา แต่แปลว่ามึงเห็นแก่ตัวค่ะ ขอไม่สนับสนุนล้างหนี้กยศเพราะถ้าล้างหนี้คนก่อนหน้าที่จ่ายไปแล้วก็ต้องได้เงินคืนด้วย มันส่งผลกระทบวงกว้างเกินไป ตอนกู้ก็เซ็นเองแต่พอถึงเวลาจ่ายจะไม่จ่าย เห็นแก่ตัวไปมั้ยอะ
59,"เมื่อ กยศ.ไปไม่ถึง“ล้างหนี้” จอดป้าย “ยกดอกเบี้ย” เจ็บแต่ไม่จบหรือเปล่า?

#กยศ #กองทุนกู้ยืมเพื่อการศึกษา #หนี้กยศ #รัฐสวัสดิการ #เรียนฟรีมีเงินเดือน #เงินกู้ #การศึกษา #ค่าครองชีพ #บทความ #ประเทศไทย #BTimes

"
60,"@jibuu37 แคมเปญเรื่องเรียนฟรี กับ ล้างหนี้กยศ.มาด้วยกันนะคะ 
เราบอกแบบนี้แล้วกันเน๊าะ กลุ่มคนที่รณรงค์เค้าทราบว่าเราต้องใช้เวลาอีกหลายปีเพื่อไปให้ถึงการเรียนอุดมศึกษาฟรีค่ะ 
สำหรับเราไปดูโครงสร้างงบ 3.2 ล้านล้านบาท เราสามารถจัดให้มันเป็นงบสวัสดิการของประชาชนเพิ่มขึ้นได้กว่านีค่ะ (ต่อ)"
61,"@dog_overload เพราะต้นเรื่อง ที่เปนคนเริ่ม # นี้
พูดในการรายการสัมเลยค่ะ
ว่า ล้างหนี้กยศ.ง่ายกว่า เรียนฟรี

แล้วประเด็นนี้ดันติดเทรนมากกว่าคำว่าเรียนฟรีอีก
ส่วนตัวมองว่า ควรจัดให้การเรียนฟรี ผ่านสำเร็จลุล่วงไปก่อนค่อยเคลียร์กยศ.ค่ะ

ควรเอามาพูดถึงหลังจาก เรียนฟรีสำเร็จแล้วด้วยซ้ำ"
62,"@dog_overload ล้างหนี้กยศ.(ต่อ)
-สมมติล้างหนี้ 3แสนล้าน จบ
- ผลมันหลังจากการล้างหนี้แล้ว
ก้ไม่ต้องมีกองทุนกยศ.แล้ว แล้วเด็ก 2แสนคน/ปี ที่ปกติเรียนด้วยการกู้กยศ. ต้องทำยังไงคะ?
- ในเมื่อการเรียนฟรี ยังไม่สำเร็จ? 
1.กู้นอกระบบ?
2.ไม่ต้องเรียน?"
63,@jibuu37 เดี๋ยวค่ะๆ “ล้างหนี้กยศ.ก่อนการเรียนฟรี” ไม่ทราบว่าคุณเอามาจากไหนคะ ?
64,"@dog_overload เรียนฟรี
= 4แสนคน*3แสนบาท(เงินกู้กยศ.เฉลี่ย)/ปี
= 1.2แสนล้าน/ปี
เงินตรงนี้ ช่วยบอกหน่อยค่ะ ว่าให้เอาส่วนไหนมา แล้วเอามาได้หรือยัง มีแน่ๆ 1.2แสนล้านทุกปีไหม???

ล้างหนี้กยศ.
= ให้กู้ 2แสนคน*3แสนบาท/ปี
= ยังค้างอยู่ 3ล้านคน(จาก6ล้าน)
ยอดค้าง 3แสนล้าน"
65,ตามหลักจะทำอะไรมันต้องเป็นขั้นเป็นตอน แต่นี่ที่เราดูล้างหนี้กยศมา คนต้นคิดร่างกฎหมายมาชุ่ยมาก ไม่มีการวางแผนนโยบายอะไรรองรับเลย ทั้งที่เรื่องเงินทองไม่เข้าใครออกใคร คุณทำงานกับประชาชนคุณต้องคิดให้รอบด้าน มาคิดแค่มุมเดียวง่ายๆแบบนั้นใครก็คิดได้นะ แล้วที่คุณควรยกเลิกมากกว่า 
66,ทำไมคนเห็นด้วยกับนิรโทษกรรมได้ แต่เห็นด้วยกับการล้างหนี้กยศ.ไม่ได้คะ ??
67,@dog_overload ก็พยายามทำความเข้าใจอยู่นะคะ ประเด็นอื่นเราไม่ขัดเลยค่ะ แต่ยังไงก็ไม่เห็นด้วยเรื่องล้างหนี้กยศ.จริงๆค่ะ 
68,ล้างหนี้กยศ.เป็นอะไรที่เราไม่เคยเห็นด้วยอะ มันไม่เกี่ยวกับความเหลื่อมล้ำหรือความกลัวเสียเปรียบเลย ขึ้นว่าเงินกู้ก็ต้องคืนหรือเปล่า ความรับผิดชอบล้วนๆ ถ้าจะล้างหนี้จริงเคลียร์คนที่กู้มาก่อนหน้านี้ให้หมดก่อน แล้วไม่ต้องมีกู้เพิ่ม 
69,จริงๆถ้าจะล้างหนี้กยศ มันไม่แฟร์นะ เหมือนกู้แล้วก็ต้องคืนอ่ะ ไม่งั้นก็ต้อง set zero หยุดปล่อยกู้ ลูกหนี้เก่าก็จ่ายให้หมด ไม่สร้างลูกหนี้ใหม่ หมดวัฏจักรแล้วก็ปรับโครงสร้างให้เรียนฟรีก็ว่ากันไป จะกาเงินจากไหนมาบำรุงการศึกษาฟรีนี้ รัฐก็ต้องคิดต้องออกนโยบาย แต่ตอนนี้ขอผู้นำดีๆก่อน 
70,ไม่ค่อยเห็นด้วยกับการล้างหนี้ กยศ. จริง ๆ แฮะ แต่ถ้าจัดตั้งนโยบายเรียนฟรีแบบไม่ต้องกู้มาใหม่ เริ่มใหม่นี่ได้อยู่ 
71,ถึงได้คิดว่าไม่มีเวลาไหนเหมาะกับการเรียกร้องให้เรียนฟรีจริงและล้างหนี้กยศแล้วอะ โอเคคนอื่นไม่เห็นด้วยมปร แต่อยากให้คนที่มีปัญหาไม่สามารถหาเงินมาจ่ายได้ลงชื่อกัน
72,"@dog_overload เท่าที่อ่านคอมเมนต์มา
ล้างหนี้กยศ = ไม่แฟร์กับคนจ่ายไปแล้ว
ลดดอกเบี้ย = ไม่แฟร์คนจ่ายดอกเบี้ยไปแล้ว

แบบนี้ไม่ต้องพัฒนาอะไรกันเลยครับ พอพัฒนาอะไรบางอย่างก็จะมีคนเดือดร้อนตลอด คนไทยคิดแต่ว่าต้องได้เปรียบคนอื่นเสมอ คนอื่นจะดีกว่าตัวเองไม่ได้"
73,จะรณรงค์ให้เรียนฟรีก็บอกประเทศไม่รวย จะให้ล้างหนี้กยศ.ก็ด่าเป็นหนี้ไม่จ่าย จะปลอดดอกเบี้ยก็ห่วง Moral hazard คนที่ยากจนในประเทศนี้อยู่ยากค่ะ ไม่มีใครเห็นความเหลื่อมล้ำที่กดขี่พวกคุณ
74,ล้างหนี้ กยศ ไม่ล้างให้เฉพาะคนที่แม่งจงใจหนีได้มะ แบบจบมาเกิน 5 ปีแล้วก็ไม่ติดต่อ ไม่สนหนี้ ไม่ห่าไรทั้งนั้นแบบไม่มีเหตุอันควรไรเงี้ย
75,"@Pakjee__m รัฐจะล้างหนี้ให้ก็ได้ครับ รัฐก็ต้องมีมาตรการรองรับว่าไม่มีกยศ.แล้วคนยากจนจะเข้าถึงโอกาสเรียนได้ยังไงในอนาคต
.
แต่ไม่ใช่ล้างหนี้กันเอง เบี้ยวหนี้กันเอง แบบนี้ครับ"
76,ก็จะตลกดีนะถ้าประชาชาติดันเรียนฟรีถึงอุดมศึกษา + ล้างหนี้ กยศ. นำหน้าก้าวไกล 555555 progressive ไหมล่ะมึง
77,"แด่ คนเห็นแก่ตัว คิดอยากล้างหนี้ กยศ 
 #หนี้กยศ "
78,หลายคนที่เป็นสามกีบไม่รุ้หรอว่าแม่งเปนสลิ่ม ก็รีไปมั่วๆโง่ๆ เรื่องล้างหนี้กยศนี่สามกีบอย่างเราๆควรสนับสนุนอ่ะ 
79,เห็นแก่ตัวนะคนที่สนับสนุนให้มีการล้างหนี้กยศ.และสนับสนุนไม่ให้เรียกเก็บดอกเบี้ยและค่าปรับจากคนที่จ่ายไม่ตรงกำหนดหรือบางคนที่จงใจไม่จ่ายคืน คุณกู้มาเรียนพอจบแล้วมีงานทำก็แค่จ่ายคืนไงรุ่นต่อไปจะได้มีเงินให้กู้ยืมเรียนเหมือนคุณไง ทำไมเห็นแก่ตัวกันจังที่คิดไม่จ่ายและให้ล้างหนี้(ต่อ)
80,เรื่องกยศ.นี่แปลกมาก เป็นเรื่องที่มักจะมีคนแสดงท่าทีไม่เห็นด้วยกับแนวคิดที่จะเป็นประโยชน์กับผู้กู้ ไล่มาตั้งแต่โวยวายกับแนวคิดสวัสดิการการศึกษาและล้างหนี้ ล่าสุดพอจะใช้เกณฑ์รายได้ในการชำระหนี้คืน ก็มีคนถามว่าถ้ามีคนเลี่ยงการจ่ายภาษีและเลี่ยงการบอกที่มาของรายได้ล่ะ
81,เป็นพรรคที่แปรผกผันกับกระแสสังคมจริงๆแหละ ขนาดเคยขายรัฐสวัสดิการเองแท้ๆ ยังเสนอนโยบายสวัสดิการสงเคราะห์ นี่ถ้าชาวเน็ตนิยมชมชอบล้างหนี้กยศ สงสัยพรรคคงจะไม่มีท่าทีแบบนี้
82,ดูเพจครูเรื่องล้างหนี้กยศ ไม่ค่อยเจอครูที่ออกมาซัพพอตเรื่องนี้เลย ส่วนใหญ่จะเป็นอาจารย์มหาลัย หรือเด็กที่เค้าสอนยังไม่ค่อยได้กู้กยศมั้ย เลยยังไม่ค่อยคุยเรื่องนี้กัน
83,@maneewan ไม่ได้รณรงค์ล้างหนี้ กยศ กันเหรอ แบบยังเห็นแบบฟอร์มให้ลงชื่ออยู่เลยนะ ตัวเองกู้ทิ้งหนี้ไว้ตั้งหลายปี เป็น สส เงินเดือนเป็นแสน โดนด่าทั้งประเทศ โดนด่าในสภาด้วย ส่วนจะใช้ยังนั้นไม่แน่ใจ ถ้าใช้แล้วก็เอาหลักฐานมากางดูหน่อยว่าใช้หนี้หมดแล้ว พูดแต่ปากไม่เชื่อหรอก
84,@maneewan ดูนักการเมืองที่เลือกมาจะรู้คุณภาพคนเลือกเลย ดูโรมกู้ กยศ แล้วจะล้างหนี้สิ ประชาชนเป็นแบบไหนก็จะเลือกสส แบบนั้นแหละ 55555
